energy, counts
0, 6533.25
4, 8699.5
8, 8389
12, 7933.75
16, 7518.75
20, 7244
24, 6875.25
28, 6648.25
32, 6453.25
36, 6264
40, 6119
44, 5895.5
48, 5790
52, 5663.5
56, 5609.75
60, 5526.5
64, 5383.5
68, 5434.75
72, 5397
76, 5271.75
80, 5283.5
84, 5271
88, 5159.25
92, 5120
96, 5076
100, 4995.75
104, 5000.75
108, 4940
112, 4975.5
116, 4972.25
120, 4869.5
124, 4929.25
128, 4859.75
132, 4855.5
136, 4839.5
140, 4847.5
144, 4810.25
148, 4754.25
152, 4682
156, 4772
160, 4710.75
164, 4682
168, 4658
172, 4633.75
176, 4612.25
180, 4607.5
184, 4584.25
188, 4464.25
192, 4445.75
196, 4409.75
200, 4431.5
204, 4394.25
208, 4299.5
212, 4260
216, 4215.25
220, 4139.25
224, 4169
228, 4155.5
232, 4055
236, 3996
240, 3917.5
244, 3833.5
248, 3783.25
252, 3783.5
256, 3709.75
260, 3634.5
264, 3558
268, 3545
272, 3410.75
276, 3407.25
280, 3310.25
284, 3235
288, 3186
292, 3161.75
296, 2984.5
300, 2979.25
304, 2903.5
308, 2777.75
312, 2753.25
316, 2705.75
320, 2622.25
324, 2495.75
328, 2412.25
332, 2394.75
336, 2276.5
340, 2216
344, 2151.25
348, 2081.5
352, 1996.5
356, 1947
360, 1868.5
364, 1740.25
368, 1737.75
372, 1628.5
376, 1616.5
380, 1496
384, 1429.5
388, 1341.75
392, 1249.5
396, 1242.5
400, 1178.5
404, 1113
408, 1022.5
412, 981.25
416, 950
420, 843.25
424, 829.75
428, 761.75
432, 712.25
436, 648.25
440, 602.5
444, 568
448, 512.5
452, 436.5
456, 431.25
460, 401
464, 354
468, 322.75
472, 287
476, 240.25
480, 231
484, 191.5
488, 164.5
492, 145.75
496, 130.25
500, 107.25
504, 87
508, 74.25
512, 65.25
516, 48.25
520, 34.25
524, 31
528, 19.25
532, 13
536, 11.5
540, 6
544, 3.25
548, 2
552, 0.5
556, 0.25
560, 0
564, 0
568, 0
572, 0
576, 0
580, 0
584, 0
588, 0
592, 0
596, 0
