energy, counts
0, 6891.5
2, 9861.5
4, 10399.5
6, 11220
8, 20625.5
10, 14808.5
12, 14453
14, 14895
16, 15487.5
18, 15627
20, 15899.5
22, 15982.5
24, 16143.5
26, 16074
28, 15863.5
30, 15965.5
32, 15604
34, 15547.5
36, 16063.5
38, 15984
40, 16757.5
42, 17610.5
44, 18841
46, 20684
48, 22672.5
50, 25564.5
52, 28874.5
54, 32107
56, 36213
58, 40605.5
60, 45663.5
62, 50626.5
64, 56009.5
66, 61486.5
68, 66933
70, 71943.5
72, 76665.5
74, 81071
76, 85131.5
78, 88497.5
80, 91717.5
82, 94300
84, 96672.5
86, 98056.5
88, 100077
90, 100758
92, 100938
94, 101373
96, 100760
98, 99968
100, 98529.5
102, 97508
104, 96178
106, 94968.5
108, 92898.5
110, 91532.5
112, 89263.5
114, 87211.5
116, 84619.5
118, 82382.5
120, 80180.5
122, 77815
124, 75625
126, 73161
128, 70643
130, 68831
132, 65965
134, 64194
136, 61378
138, 59693.5
140, 57584.5
142, 55103.5
144, 53311.5
146, 50980.5
148, 49159.5
150, 47284
152, 45335.5
154, 43724.5
156, 41880
158, 40211.5
160, 38735
162, 37206.5
164, 35782
166, 34224
168, 32870
170, 31728.5
172, 30011
174, 29079.5
176, 27929
178, 26765
180, 25600
182, 24687.5
184, 23599.5
186, 22776
188, 21639.5
190, 20915.5
192, 19872.5
194, 19172
196, 18373
198, 17795.5
200, 17103.5
202, 16150
204, 15480
206, 14748
208, 14406.5
210, 13695
212, 13093.5
214, 12800.5
216, 12159
218, 11499
220, 11237.5
222, 10819.5
224, 10280.5
226, 9771.5
228, 9482
230, 9098.5
232, 8587.5
234, 8269.5
236, 7963
238, 7542
240, 7400.5
242, 7089.5
244, 6802
246, 6419.5
248, 6108.5
250, 6049.5
252, 5765
254, 5488.5
256, 5207.5
258, 5063
260, 4867.5
262, 4604
264, 4373
266, 4181
268, 3940.5
270, 3802
272, 3753.5
274, 3564.5
276, 3424.5
278, 3302
280, 3121
282, 2966
284, 2884
286, 2820.5
288, 2660
290, 2512
292, 2359
294, 2269
296, 2196
298, 2082.5
300, 2052.5
302, 1901.5
304, 1840
306, 1776.5
308, 1692
310, 1590
312, 1542.5
314, 1495.5
316, 1429
318, 1368
320, 1270
322, 1257.5
324, 1192.5
326, 1104.5
328, 1083
330, 1009
332, 994.5
334, 917.5
336, 872.5
338, 841.5
340, 802.5
342, 752.5
344, 756.5
346, 707.5
348, 669
350, 604.5
352, 623.5
354, 580.5
356, 554
358, 510
360, 513
362, 480.5
364, 444.5
366, 402.5
368, 411.5
370, 393.5
372, 355.5
374, 315.5
376, 328.5
378, 325.5
380, 292.5
382, 289
384, 257.5
386, 268.5
388, 216.5
390, 231
392, 207
394, 203
396, 193.5
398, 180.5
400, 174.5
402, 148.5
404, 148
406, 136
408, 149
410, 127
412, 127
414, 118
416, 109
418, 96.5
420, 88
422, 79.5
424, 64
426, 67
428, 83
430, 63
432, 58
434, 55
436, 53.5
438, 51.5
440, 41.5
442, 40.5
444, 41.5
446, 32
448, 24
450, 31
452, 36.5
454, 31
456, 26
458, 20
460, 20
462, 16
464, 20
466, 10
468, 14
470, 13
472, 10.5
474, 11.5
476, 6
478, 12
480, 8
482, 5
484, 6.5
486, 5.5
488, 7
490, 3.5
492, 2.5
494, 5
496, 4.5
498, 5.5
500, 1.5
502, 1.5
504, 2.5
506, 3.5
508, 2
510, 0.5
512, 0.5
514, 0
516, 1.5
518, 0
520, 0.5
522, 0.5
524, 1
526, 0.5
528, 0
530, 0.5
532, 0
534, 0
536, 0
538, 0
540, 0
542, 0
544, 0
546, 0
548, 0
550, 0
552, 0
554, 0
556, 0
558, 0
560, 0
562, 0
564, 0
566, 0
568, 0
570, 0
572, 0
574, 0
576, 0
578, 0
580, 0
582, 0
584, 0
586, 0
588, 0
590, 0
592, 0
594, 0
596, 0
598, 0
