index, gedet, fccd_old, fccd_old_err_p, fccd_old_err_m, fccd_new, dlf_old, dlf_old_err_p, dlf_old_err_m, dlf_new, label
1    , ANG1 , 1.8     , 0.5           , 0.5           , nan     , nan    , nan          , nan          , nan    , off
2    , ANG2 , 2.3     , 0.7           , 0.7           , 2.1     , nan    , nan          , nan          , 0.8    , ok
3    , ANG3 , 1.9     , 0.8           , 0.8           , 1.9     , nan    , nan          , nan          , 0.7    , ok
4    , ANG4 , 1.4     , 0.7           , 0.7           , 2       , nan    , nan          , nan          , 0.8    , ok
5    , ANG5 , 2.6     , 0.6           , 0.6           , nan     , nan    , nan          , nan          , nan    , off
6    , RG1  , 1.5     , 0.7           , 0.7           , 2.2     , nan    , nan          , nan          , 0.7    , ok
7    , RG2  , 2.3     , 0.7           , 0.7           , 1.8     , nan    , nan          , nan          , 0.7    , ok
8    , GD00A, 0.91    , 0.15          , 0.15          , 1.5     , 0.13   , 0.05         , 0.04         , 0.6    , ok
9    , GD00B, 1.04    , 0.15          , 0.15          , 1.6     , 0.2    , 0.03         , 0.04         , 0.6    , ok
10   , GD00C, 1.01    , 0.16          , 0.16          , 1.4     , 0.17   , 0.03         , 0.03         , 0.6    , ok
11   , GD00D, 1.02    , 0.15          , 0.15          , 1.2     , 0.37   , 0.02         , 0.02         , 0.7    , ok
12   , GD02A, 0.86    , 0.13          , 0.13          , 1.5     , 0.02   , 0.03         , 0.04         , 0.6    , ok
13   , GD02B, 0.97    , 0.14          , 0.14          , 1.6     , 0.24   , 0.04         , 0.04         , 0.6    , ok
14   , GD02C, 1.03    , 0.15          , 0.15          , 1.4     , 0.49   , 0.03         , 0.03         , 0.5    , ok
15   , GD32A, 0.91    , 0.17          , 0.17          , 1.7     , 0.17   , 0.03         , 0.03         , 0.6    , ok
16   , GD32B, 1.05    , 0.13          , 0.13          , 1.5     , 0.21   , 0.03         , 0.02         , 0.6    , ok
17   , GD32C, 0.96    , 0.14          , 0.14          , 1.3     , 0.28   , 0.02         , 0.03         , 0.6    , ok
18   , GD32D, 0.77    , 0.13          , 0.13          , 1.3     , 0.31   , 0.04         , 0.04         , 0.6    , ok
19   , GD35A, 0.95    , 0.17          , 0.17          , 1.6     , 0.13   , 0.03         , 0.02         , 0.6    , ok
20   , GD35B, 0.78    , 0.13          , 0.13          , 1.3     , 0.16   , 0.09         , 0.07         , 0.7    , ok
21   , GD35C, 0.79    , 0.13          , 0.13          , 1.1     , 0.34   , 0.02         , 0.02         , 0.7    , ok
22   , GD61A, 1.01    , 0.16          , 0.16          , 1.5     , 0.15   , 0.04         , 0.05         , 0.6    , ok
23   , GD61B, 1       , 0.15          , 0.15          , 1.4     , 0.37   , 0.03         , 0.03         , 0.6    , ok
24   , GD61C, 0.92    , 0.13          , 0.13          , 1.4     , 0.44   , 0.03         , 0.03         , 0.5    , ok
25   , GD76B, 1.14    , 0.15          , 0.15          , 1.3     , 0.32   , 0.03         , 0.03         , 0.6    , ok
26   , GD76C, 1.14    , 0.15          , 0.15          , 1.3     , 0.45   , 0.02         , 0.02         , 0.7    , ok
27   , GD79B, 1.04    , 0.16          , 0.16          , 1.3     , 0.25   , 0.03         , 0.03         , 0.7    , ok
28   , GD79C, 1.1     , 0.13          , 0.13          , 1.3     , 0.45   , 0.02         , 0.02         , 0.6    , ok
29   , GD89A, 0.99    , 0.17          , 0.17          , 1.7     , 0.19   , 0.03         , 0.04         , 0.6    , ok
30   , GD89B, 1.13    , 0.16          , 0.16          , 1.6     , 0.28   , 0.03         , 0.02         , 0.6    , ok
31   , GD89C, 0.99    , 0.16          , 0.16          , 1.5     , 0.33   , 0.04         , 0.03         , 0.6    , ok
32   , GD89D, 1.02    , 0.14          , 0.14          , 1.4     , 0.36   , 0.03         , 0.03         , 0.6    , ok
33   , GD91A, 0.99    , 0.16          , 0.16          , 1.6     , 0.14   , 0.03         , 0.04         , 0.6    , ok
34   , GD91B, 0.96    , 0.15          , 0.15          , 1.5     , 0.19   , 0.03         , 0.03         , 0.5    , ok
35   , GD91C, 0.96    , 0.15          , 0.15          , 1.4     , 0.13   , 0.05         , 0.05         , 0.6    , ok
36   , GD91D, 0.99    , 0.16          , 0.16          , 1.3     , 0.36   , 0.04         , 0.03         , 0.6    , ok
37   , IC48A, 0.820   , 0.069         , 0.069         , 0.8     , nan    , nan          , nan          , 0.2    , ok
38   , IC48B, 0.800   , 0.055         , 0.055         , nan     , nan    , nan          , nan          , nan    , off
39   , IC50A, 1.030   , 0.085         , 0.085         , 1       , nan    , nan          , nan          , 0.3    , ok
40   , IC50B, 0.790   , 0.055         , 0.055         , 0.8     , nan    , nan          , nan          , 0.4    , ok
41   , IC74A, 1.140   , 0.090         , 0.090         , 1.1     , nan    , nan          , nan          , 0.4    , ok
