energy, counts
0, 11856
2, 17963.5
4, 19120.5
6, 19898
8, 29104
10, 23108
12, 22437.5
14, 22778
16, 23159
18, 22993
20, 23230
22, 23140
24, 23072
26, 22896
28, 22526
30, 22599.5
32, 22057.5
34, 22000.5
36, 22415
38, 22160.5
40, 22991
42, 23615
44, 24794.5
46, 26521.5
48, 28527.5
50, 31289.5
52, 34525.5
54, 37783
56, 41811.5
58, 46226.5
60, 51224
62, 56119
64, 61380
66, 66883
68, 72381.5
70, 77364.5
72, 82091.5
74, 86439
76, 90439
78, 93733.5
80, 97027.5
82, 99557
84, 101982
86, 103289
88, 105306
90, 105847
92, 106024
94, 106528
96, 105814
98, 105066
100, 103452
102, 102577
104, 101258
106, 99890.5
108, 97786.5
110, 96524.5
112, 94241.5
114, 92184.5
116, 89534.5
118, 87412
120, 85093
122, 82641.5
124, 80513.5
126, 78131
128, 75423
130, 73770.5
132, 70883
134, 68987
136, 66140
138, 64610.5
140, 62518.5
142, 59864.5
144, 58218.5
146, 55694
148, 53859.5
150, 52092.5
152, 50029.5
154, 48394.5
156, 46633.5
158, 45002
160, 43446.5
162, 41916.5
164, 40481.5
166, 38888.5
168, 37528
170, 36386.5
172, 34688
174, 33670
176, 32584
178, 31334.5
180, 30235
182, 29267.5
184, 28200
186, 27344
188, 26073.5
190, 25410
192, 24342.5
194, 23593.5
196, 22730.5
198, 22257.5
200, 21568
202, 20548.5
204, 19902.5
206, 19114
208, 18742
210, 17958.5
212, 17380
214, 17034
216, 16355
218, 15733.5
220, 15394.5
222, 14941
224, 14447.5
226, 13942.5
228, 13598
230, 13293.5
232, 12686.5
234, 12280.5
236, 11955
238, 11542
240, 11330
242, 10995
244, 10621.5
246, 10267
248, 9865
250, 9859.5
252, 9593.5
254, 9227
256, 8930
258, 8760
260, 8543.5
262, 8197
264, 7976
266, 7694
268, 7514.5
270, 7318
272, 7160
274, 6979.5
276, 6868.5
278, 6672.5
280, 6450.5
282, 6257
284, 6110
286, 6064.5
288, 5855.5
290, 5688.5
292, 5518
294, 5433.5
296, 5188.5
298, 5059
300, 5060.5
302, 4852
304, 4737
306, 4686.5
308, 4490.5
310, 4347
312, 4307.5
314, 4237
316, 4086
318, 4122.5
320, 3898
322, 3874
324, 3694
326, 3594.5
328, 3561.5
330, 3355
332, 3365
334, 3336.5
336, 3164
338, 3103
340, 3058
342, 2929
344, 2927.5
346, 2839
348, 2785.5
350, 2651
352, 2631
354, 2566
356, 2572.5
358, 2385.5
360, 2407.5
362, 2323
364, 2191
366, 2136.5
368, 2155.5
370, 2125
372, 1994.5
374, 1933.5
376, 1974.5
378, 1912.5
380, 1799
382, 1774.5
384, 1710.5
386, 1674.5
388, 1566.5
390, 1564.5
392, 1472
394, 1437
396, 1459.5
398, 1399.5
400, 1350
402, 1330
404, 1275.5
406, 1234.5
408, 1176
410, 1145
412, 1126
414, 1081.5
416, 1084.5
418, 1021
420, 925.5
422, 928.5
424, 913
426, 877.5
428, 845.5
430, 824
432, 781
434, 756.5
436, 714.5
438, 687
440, 642.5
442, 644.5
444, 610
446, 599.5
448, 564
450, 516
452, 481
454, 459.5
456, 467
458, 441.5
460, 435
462, 403
464, 380
466, 358
468, 342
470, 330.5
472, 309.5
474, 286.5
476, 257.5
478, 241
480, 235
482, 240
484, 209
486, 186
488, 170
490, 169.5
492, 157
494, 142
496, 136
498, 134.5
500, 116
502, 101.5
504, 89.5
506, 90.5
508, 78
510, 73
512, 67.5
514, 63.5
516, 53.5
518, 44.5
520, 35.5
522, 34
524, 31
526, 32.5
528, 16.5
530, 22.5
532, 15.5
534, 10.5
536, 13.5
538, 9.5
540, 7
542, 5
544, 3.5
546, 3
548, 3
550, 1
552, 0.5
554, 0.5
556, 0.5
558, 0
560, 0
562, 0
564, 0
566, 0
568, 0
570, 0
572, 0
574, 0
576, 0
578, 0
580, 0
582, 0
584, 0
586, 0
588, 0
590, 0
592, 0
594, 0
596, 0
598, 0
