energy, counts
0, 0
2, 0
4, 0
6, 0
8, 0
10, 0
12, 0
14, 0
16, 0
18, 0
20, 0
22, 0
24, 0
26, 0
28, 0
30, 0
32, 0
34, 0
36, 0
38, 0
40, 5637.55
42, 5861.1
44, 6125.84
46, 6564.04
48, 7027.12
50, 7671.04
52, 8457.54
54, 9267.45
56, 10215.8
58, 11131.4
60, 12243.4
62, 13291.7
64, 14365.3
66, 15603.8
68, 16693.1
70, 17759.6
72, 18591.9
74, 19410.5
76, 20244.2
78, 20801.5
80, 21321.6
82, 21761.7
84, 22197.8
86, 22321.1
88, 22599.1
90, 22675.7
92, 22551.8
94, 22466.4
96, 22236.4
98, 21962.8
100, 21626.9
102, 21271.2
104, 20930.7
106, 20540.2
108, 20037.2
110, 19742.9
112, 19140.7
114, 18680.5
116, 18003.5
118, 17545.3
120, 17159.7
122, 16480.4
124, 16056.7
126, 15513.6
128, 14942.8
130, 14582.8
132, 13979.4
134, 13511.7
136, 12992.7
138, 12653.6
140, 12157.6
142, 11709.6
144, 11229.7
146, 10818.5
148, 10406.5
150, 10039.5
152, 9692.08
154, 9299.93
156, 8875.66
158, 8596.13
160, 8268.99
162, 7956.47
164, 7696.85
166, 7398.9
168, 7098.98
170, 6764.58
172, 6571.68
174, 6258.14
176, 6026.72
178, 5846.38
180, 5647.06
182, 5497.37
184, 5228.12
186, 5012.63
188, 4854.92
190, 4691.01
192, 4514.14
194, 4322.66
196, 4189.85
198, 4064.33
200, 3929.09
202, 3747.22
204, 3596.52
206, 3490.44
208, 3360.62
210, 3251.8
212, 3161.06
214, 3042.55
216, 2959.67
218, 2821.39
220, 2774.85
222, 2690.96
224, 2594.74
226, 2463.27
228, 2422.26
230, 2365.57
232, 2285.51
234, 2177.86
236, 2105.76
238, 2081.12
240, 2064.71
242, 1990.35
244, 1851.25
246, 1802.55
248, 1750.51
250, 1708.43
252, 1697.31
254, 1610.69
256, 1561.02
258, 1532.56
260, 1481.12
262, 1437.61
264, 1374.42
266, 1319.67
268, 1292.07
270, 1279.05
272, 1237.46
274, 1192.36
276, 1178.47
278, 1141.66
280, 1120.32
282, 1075.63
284, 1064.71
286, 1030
288, 1010.17
290, 973.232
292, 949.565
294, 1090.82
296, 931.291
298, 857.994
300, 861.437
302, 832.594
304, 807.5
306, 804.901
308, 772.19
310, 786.205
312, 774.737
314, 732.933
316, 716.286
318, 712.642
320, 674.751
322, 662.365
324, 646.488
326, 630.1
328, 621.935
330, 602.538
332, 604.962
334, 585.431
336, 569.812
338, 548.175
340, 556.612
342, 530.234
344, 534.946
346, 507.011
348, 495.84
350, 675.221
352, 654.417
354, 485.674
356, 484.329
358, 447.514
360, 443.61
362, 445.664
364, 425.006
366, 420.193
368, 407.851
370, 405.572
372, 393.187
374, 388.558
376, 388.604
378, 391.054
380, 371.156
382, 363.074
384, 361.374
386, 351.596
388, 337.627
390, 327.006
392, 329.877
394, 326.941
396, 318.503
398, 311.993
400, 309.563
402, 300.269
404, 304.502
406, 298.152
408, 293.22
410, 280.738
412, 275.817
414, 278.234
416, 276.268
418, 262.472
420, 260.154
422, 263.452
424, 255.241
426, 249.119
428, 247.304
430, 241.389
432, 234.043
434, 233.447
436, 232.11
438, 227.447
440, 227.375
442, 219.095
444, 216.191
446, 212.425
448, 216.404
450, 209.882
452, 202.084
454, 199.924
456, 195.867
458, 196.949
460, 198.518
462, 191.538
464, 188.157
466, 188.828
468, 185.412
470, 184.217
472, 180.566
474, 180.434
476, 178.677
478, 176.687
480, 179.505
482, 174.954
484, 171.592
486, 171.252
488, 168.7
490, 166.962
492, 163.167
494, 163.691
496, 162.695
498, 160.771
500, 162.038
502, 161.623
504, 156.61
506, 158.192
508, 161.387
510, 185.345
512, 155.865
514, 150.784
516, 151.645
518, 152.047
520, 149.718
522, 150.164
524, 148.214
526, 148.435
528, 148.249
530, 147.596
532, 149.192
534, 146.567
536, 146.604
538, 146.152
540, 145.568
542, 144.998
544, 145.309
546, 146.686
548, 145.609
550, 145.331
552, 144.53
554, 145.502
556, 144.927
558, 145.165
560, 145.003
562, 144.96
564, 144.991
566, 144.823
568, 145.24
570, 144.907
572, 145.073
574, 144.369
576, 145.027
578, 144.41
580, 145.416
582, 144.571
584, 143.644
586, 144.084
588, 143.771
590, 143.507
592, 143.474
594, 143.705
596, 143.93
598, 144.032
