energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 1444, 1387.34, 1349.5, 1425.5, 1312.5, 1462.5, 1276.5, 1498.5
44, 1390, 1404.78, 1366.5, 1442.5, 1329.5, 1480.5, 1293.5, 1516.5
48, 1330, 1403.07, 1365.5, 1440.5, 1327.5, 1478.5, 1291.5, 1514.5
52, 1446, 1427.63, 1389.5, 1465.5, 1351.5, 1503.5, 1314.5, 1540.5
56, 1567, 1551.94, 1512.5, 1591.5, 1472.5, 1631.5, 1434.5, 1669.5
60, 1824, 1643, 1602.5, 1683.5, 1561.5, 1724.5, 1522.5, 1763.5
64, 2019, 1848.84, 1805.5, 1892.5, 1762.5, 1935.5, 1720.5, 1976.5
68, 2268, 2114.27, 2067.5, 2160.5, 2022.5, 2206.5, 1977.5, 2251.5
72, 2480, 2367.04, 2317.5, 2416.5, 2269.5, 2464.5, 2222.5, 2511.5
76, 2811, 2577.55, 2526.5, 2628.5, 2475.5, 2679.5, 2426.5, 2728.5
80, 2923, 2754.36, 2701.5, 2807.5, 2649.5, 2859.5, 2598.5, 2910.5
84, 3129, 2973.1, 2918.5, 3028.5, 2863.5, 3082.5, 2810.5, 3135.5
88, 3122, 3112.52, 3056.5, 3168.5, 3000.5, 3224.5, 2946.5, 3278.5
92, 3333, 3131.36, 3074.5, 3187.5, 3019.5, 3243.5, 2964.5, 3297.5
96, 3289, 3163.95, 3107.5, 3220.5, 3051.5, 3276.5, 2996.5, 3331.5
100, 3182, 3149.99, 3093.5, 3206.5, 3037.5, 3262.5, 2982.5, 3317.5
104, 3162, 3124.5, 3068.5, 3180.5, 3012.5, 3236.5, 2958.5, 3290.5
108, 3080, 3063.25, 3007.5, 3119.5, 2952.5, 3174.5, 2898.5, 3228.5
112, 3054, 2992.77, 2937.5, 3047.5, 2883.5, 3102.5, 2829.5, 3155.5
116, 2804, 2913.98, 2859.5, 2968.5, 2805.5, 3022.5, 2753.5, 3074.5
120, 2813, 2837.54, 2783.5, 2891.5, 2730.5, 2944.5, 2678.5, 2996.5
124, 2638, 2674.65, 2622.5, 2726.5, 2570.5, 2778.5, 2520.5, 2828.5
128, 2465, 2592.3, 2540.5, 2643.5, 2490.5, 2694.5, 2440.5, 2743.5
132, 2291, 2416.23, 2366.5, 2465.5, 2317.5, 2514.5, 2269.5, 2562.5
136, 2357, 2323.96, 2275.5, 2372.5, 2227.5, 2420.5, 2180.5, 2467.5
140, 2143, 2230.82, 2183.5, 2278.5, 2136.5, 2325.5, 2090.5, 2371.5
144, 2009, 2061.65, 2015.5, 2107.5, 1970.5, 2152.5, 1926.5, 2196.5
148, 1955, 1939.36, 1894.5, 1983.5, 1850.5, 2027.5, 1808.5, 2070.5
152, 1797, 1878.17, 1834.5, 1921.5, 1791.5, 1965.5, 1749.5, 2007.5
156, 1654, 1749.56, 1707.5, 1791.5, 1665.5, 1833.5, 1624.5, 1874.5
160, 1554, 1663.86, 1622.5, 1705.5, 1581.5, 1745.5, 1542.5, 1785.5
164, 1525, 1575.35, 1535.5, 1615.5, 1495.5, 1655.5, 1457.5, 1693.5
168, 1370, 1497.59, 1458.5, 1536.5, 1419.5, 1575.5, 1382.5, 1612.5
172, 1303, 1415.33, 1377.5, 1453.5, 1339.5, 1490.5, 1303.5, 1527.5
176, 1225, 1307.51, 1270.5, 1344.5, 1234.5, 1380.5, 1199.5, 1415.5
180, 1144, 1218.29, 1182.5, 1253.5, 1148.5, 1288.5, 1114.5, 1322.5
184, 1048, 1193.68, 1158.5, 1228.5, 1124.5, 1263.5, 1090.5, 1296.5
188, 969, 1114.52, 1080.5, 1148.5, 1047.5, 1181.5, 1014.5, 1214.5
192, 918, 1049.34, 1016.5, 1082.5, 984.5, 1114.5, 952.5, 1145.5
196, 936, 1022.2, 989.5, 1054.5, 957.5, 1086.5, 926.5, 1117.5
200, 899, 986.603, 954.5, 1018.5, 923.5, 1049.5, 892.5, 1080.5
204, 806, 904.295, 873.5, 934.5, 843.5, 964.5, 814.5, 994.5
208, 786, 856.433, 826.5, 886.5, 797.5, 915.5, 769.5, 943.5
212, 807, 818.105, 789.5, 847.5, 760.5, 875.5, 732.5, 903.5
216, 689, 780.392, 751.5, 808.5, 724.5, 836.5, 696.5, 863.5
220, 655, 743.043, 715.5, 770.5, 688.5, 797.5, 661.5, 824.5
224, 651, 731.097, 703.5, 758.5, 676.5, 785.5, 650.5, 811.5
228, 601, 695.448, 668.5, 722.5, 642.5, 748.5, 616.5, 774.5
232, 553, 655.293, 629.5, 681.5, 603.5, 706.5, 578.5, 731.5
236, 573, 623.945, 598.5, 649.5, 573.5, 674.5, 549.5, 698.5
240, 514, 604.657, 579.5, 629.5, 555.5, 654.5, 531.5, 678.5
244, 488, 572.122, 547.5, 596.5, 523.5, 620.5, 500.5, 643.5
248, 469, 560.133, 535.5, 584.5, 512.5, 607.5, 489.5, 630.5
