energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 523, 494.937, 472.5, 517.5, 450.5, 539.5, 428.5, 561.5
44, 479, 487.845, 465.5, 510.5, 443.5, 532.5, 421.5, 553.5
48, 519, 511.259, 488.5, 534.5, 465.5, 556.5, 443.5, 578.5
52, 545, 546.493, 522.5, 570.5, 499.5, 593.5, 476.5, 616.5
56, 641, 589.65, 564.5, 614.5, 540.5, 638.5, 517.5, 662.5
60, 649, 658.884, 632.5, 685.5, 607.5, 710.5, 582.5, 735.5
64, 721, 729.199, 701.5, 756.5, 674.5, 783.5, 648.5, 809.5
68, 828, 851.468, 821.5, 881.5, 792.5, 910.5, 764.5, 938.5
72, 869, 958.588, 927.5, 990.5, 896.5, 1020.5, 866.5, 1050.5
76, 970, 1034.05, 1001.5, 1066.5, 969.5, 1098.5, 938.5, 1129.5
80, 1071, 1062.91, 1029.5, 1095.5, 997.5, 1128.5, 965.5, 1160.5
84, 1130, 1153.97, 1119.5, 1188.5, 1085.5, 1222.5, 1052.5, 1255.5
88, 1172, 1152.34, 1117.5, 1186.5, 1084.5, 1220.5, 1051.5, 1253.5
92, 1116, 1174.37, 1139.5, 1209.5, 1105.5, 1243.5, 1072.5, 1276.5
96, 1144, 1205.48, 1170.5, 1240.5, 1135.5, 1275.5, 1101.5, 1309.5
100, 1134, 1201.72, 1166.5, 1236.5, 1132.5, 1271.5, 1098.5, 1305.5
104, 1121, 1161.21, 1126.5, 1195.5, 1092.5, 1229.5, 1059.5, 1262.5
108, 1136, 1132.93, 1098.5, 1167.5, 1065.5, 1200.5, 1032.5, 1233.5
112, 1020, 1080.49, 1047.5, 1113.5, 1014.5, 1146.5, 982.5, 1178.5
116, 1040, 1050.22, 1017.5, 1083.5, 985.5, 1115.5, 953.5, 1146.5
120, 962, 959.072, 927.5, 990.5, 896.5, 1021.5, 866.5, 1051.5
124, 911, 944.432, 913.5, 975.5, 882.5, 1006.5, 852.5, 1036.5
128, 822, 875.246, 845.5, 905.5, 815.5, 934.5, 786.5, 963.5
132, 758, 806.798, 777.5, 835.5, 749.5, 863.5, 722.5, 891.5
136, 751, 757.491, 729.5, 785.5, 702.5, 812.5, 675.5, 839.5
140, 739, 703.063, 676.5, 730.5, 649.5, 756.5, 623.5, 782.5
144, 640, 634.888, 609.5, 660.5, 584.5, 685.5, 559.5, 710.5
148, 641, 605.576, 580.5, 630.5, 555.5, 655.5, 532.5, 679.5
152, 618, 578.671, 554.5, 603.5, 530.5, 627.5, 506.5, 650.5
156, 522, 530.603, 507.5, 554.5, 484.5, 577.5, 461.5, 599.5
160, 486, 481.299, 458.5, 503.5, 437.5, 525.5, 415.5, 546.5
164, 455, 468.981, 446.5, 491.5, 425.5, 512.5, 404.5, 533.5
168, 455, 418.832, 397.5, 439.5, 377.5, 460.5, 357.5, 480.5
172, 379, 390.666, 370.5, 410.5, 350.5, 430.5, 331.5, 449.5
176, 364, 341.065, 322.5, 360.5, 303.5, 378.5, 285.5, 396.5
180, 345, 340.837, 321.5, 359.5, 303.5, 378.5, 285.5, 396.5
184, 347, 306.978, 288.5, 324.5, 271.5, 342.5, 254.5, 359.5
188, 312, 278.079, 260.5, 295.5, 244.5, 311.5, 228.5, 328.5
192, 296, 265.292, 248.5, 282.5, 232.5, 298.5, 216.5, 314.5
196, 240, 248.368, 232.5, 264.5, 216.5, 280.5, 201.5, 295.5
200, 233, 230.683, 215.5, 246.5, 199.5, 261.5, 185.5, 276.5
204, 213, 214.704, 199.5, 229.5, 184.5, 244.5, 170.5, 258.5
208, 218, 194.437, 180.5, 208.5, 166.5, 222.5, 152.5, 236.5
212, 170, 178.295, 164.5, 192.5, 151.5, 205.5, 138.5, 218.5
216, 185, 176.037, 162.5, 189.5, 149.5, 203.5, 136.5, 215.5
220, 179, 161.282, 148.5, 174.5, 135.5, 187.5, 123.5, 199.5
224, 154, 152.435, 139.5, 165.5, 127.5, 177.5, 115.5, 189.5
228, 134, 138.385, 126.5, 150.5, 114.5, 162.5, 102.5, 173.5
232, 139, 129.931, 118.5, 141.5, 106.5, 153.5, 95.5, 164.5
236, 155, 125.562, 113.5, 137.5, 102.5, 148.5, 91.5, 159.5
240, 118, 120.536, 109.5, 131.5, 98.5, 142.5, 87.5, 153.5
244, 116, 113.298, 102.5, 124.5, 91.5, 135.5, 81.5, 145.5
248, 103, 110.277, 99.5, 121.5, 88.5, 131.5, 78.5, 141.5
