energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 572, 553.446, 529.5, 577.5, 506.5, 600.5, 483.5, 623.5
44, 540, 559.748, 535.5, 583.5, 512.5, 607.5, 489.5, 630.5
48, 550, 596.207, 571.5, 621.5, 546.5, 645.5, 523.5, 669.5
52, 588, 658.932, 632.5, 685.5, 607.5, 710.5, 582.5, 735.5
56, 752, 705.158, 678.5, 732.5, 651.5, 758.5, 625.5, 784.5
60, 797, 835.903, 806.5, 865.5, 777.5, 894.5, 749.5, 922.5
64, 925, 934.749, 903.5, 965.5, 873.5, 996.5, 843.5, 1025.5
68, 1068, 1070.58, 1037.5, 1103.5, 1004.5, 1136.5, 972.5, 1168.5
72, 1184, 1219.84, 1184.5, 1255.5, 1149.5, 1290.5, 1115.5, 1323.5
76, 1232, 1283.29, 1247.5, 1319.5, 1211.5, 1355.5, 1176.5, 1390.5
80, 1348, 1341.36, 1304.5, 1378.5, 1267.5, 1414.5, 1232.5, 1450.5
84, 1408, 1411.87, 1373.5, 1449.5, 1336.5, 1487.5, 1299.5, 1523.5
88, 1408, 1446.44, 1407.5, 1484.5, 1370.5, 1522.5, 1333.5, 1559.5
92, 1400, 1443.98, 1405.5, 1482.5, 1367.5, 1520.5, 1330.5, 1557.5
96, 1347, 1426.32, 1388.5, 1464.5, 1350.5, 1502.5, 1313.5, 1538.5
100, 1430, 1411.9, 1373.5, 1449.5, 1336.5, 1487.5, 1299.5, 1523.5
104, 1378, 1354.97, 1317.5, 1392.5, 1281.5, 1428.5, 1245.5, 1464.5
108, 1239, 1303.74, 1267.5, 1340.5, 1231.5, 1376.5, 1196.5, 1411.5
112, 1304, 1292.23, 1255.5, 1328.5, 1220.5, 1364.5, 1185.5, 1399.5
116, 1170, 1175.16, 1140.5, 1209.5, 1106.5, 1244.5, 1072.5, 1277.5
120, 1114, 1137.57, 1103.5, 1171.5, 1069.5, 1205.5, 1036.5, 1238.5
124, 969, 1043.9, 1011.5, 1076.5, 978.5, 1108.5, 947.5, 1140.5
128, 1010, 1015.38, 983.5, 1047.5, 951.5, 1079.5, 920.5, 1110.5
132, 887, 958.866, 927.5, 990.5, 896.5, 1021.5, 866.5, 1051.5
136, 894, 863.544, 833.5, 893.5, 804.5, 922.5, 775.5, 951.5
140, 800, 814.422, 785.5, 843.5, 756.5, 871.5, 729.5, 899.5
144, 766, 750.83, 722.5, 778.5, 695.5, 806.5, 669.5, 832.5
148, 638, 687.617, 660.5, 714.5, 634.5, 740.5, 609.5, 765.5
152, 607, 664.095, 637.5, 690.5, 612.5, 716.5, 587.5, 741.5
156, 573, 596.731, 571.5, 621.5, 547.5, 645.5, 523.5, 669.5
160, 522, 560.673, 536.5, 584.5, 512.5, 608.5, 489.5, 631.5
164, 503, 502.607, 479.5, 525.5, 457.5, 547.5, 435.5, 569.5
168, 458, 500.246, 477.5, 523.5, 455.5, 545.5, 433.5, 567.5
172, 428, 435.117, 413.5, 456.5, 392.5, 477.5, 372.5, 497.5
176, 440, 423.346, 402.5, 444.5, 381.5, 464.5, 361.5, 484.5
180, 367, 396.518, 376.5, 416.5, 356.5, 436.5, 336.5, 456.5
184, 348, 366.579, 346.5, 386.5, 327.5, 405.5, 309.5, 423.5
188, 334, 333.626, 314.5, 352.5, 296.5, 370.5, 278.5, 388.5
192, 330, 307.259, 289.5, 325.5, 271.5, 342.5, 254.5, 359.5
196, 287, 295.505, 277.5, 313.5, 260.5, 330.5, 243.5, 347.5
200, 263, 269.726, 252.5, 286.5, 236.5, 302.5, 220.5, 318.5
204, 232, 248.541, 232.5, 264.5, 216.5, 280.5, 201.5, 295.5
208, 230, 236.957, 221.5, 252.5, 205.5, 268.5, 190.5, 283.5
212, 234, 225.532, 210.5, 241.5, 195.5, 255.5, 180.5, 270.5
216, 199, 204.182, 189.5, 218.5, 175.5, 233.5, 161.5, 247.5
220, 202, 194.126, 179.5, 208.5, 165.5, 222.5, 152.5, 235.5
224, 168, 182.592, 168.5, 196.5, 155.5, 210.5, 141.5, 223.5
228, 157, 171.427, 157.5, 185.5, 144.5, 198.5, 132.5, 210.5
232, 145, 149.437, 136.5, 162.5, 124.5, 174.5, 112.5, 186.5
236, 144, 147.525, 134.5, 160.5, 122.5, 172.5, 110.5, 184.5
240, 118, 141.849, 129.5, 154.5, 117.5, 166.5, 106.5, 177.5
244, 128, 132.009, 120.5, 143.5, 108.5, 155.5, 97.5, 166.5
248, 113, 122.824, 111.5, 134.5, 100.5, 145.5, 89.5, 156.5
