energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 563, 598.985, 574.5, 623.5, 549.5, 648.5, 525.5, 672.5
44, 544, 610.264, 585.5, 635.5, 560.5, 660.5, 536.5, 684.5
48, 593, 652.663, 626.5, 678.5, 601.5, 704.5, 576.5, 728.5
52, 690, 687.647, 660.5, 714.5, 634.5, 740.5, 609.5, 765.5
56, 777, 764.044, 735.5, 792.5, 708.5, 819.5, 681.5, 846.5
60, 973, 843.343, 813.5, 872.5, 784.5, 901.5, 756.5, 930.5
64, 1027, 1004.19, 972.5, 1036.5, 940.5, 1067.5, 909.5, 1098.5
68, 1200, 1116.14, 1082.5, 1150.5, 1048.5, 1183.5, 1016.5, 1215.5
72, 1306, 1258.83, 1222.5, 1294.5, 1187.5, 1330.5, 1153.5, 1364.5
76, 1480, 1388.24, 1350.5, 1425.5, 1313.5, 1463.5, 1277.5, 1499.5
80, 1534, 1439.8, 1401.5, 1478.5, 1363.5, 1516.5, 1326.5, 1552.5
84, 1597, 1515.1, 1475.5, 1554.5, 1436.5, 1593.5, 1399.5, 1631.5
88, 1664, 1575.55, 1535.5, 1615.5, 1495.5, 1655.5, 1457.5, 1693.5
92, 1648, 1574.69, 1534.5, 1614.5, 1495.5, 1654.5, 1456.5, 1692.5
96, 1552, 1606.18, 1565.5, 1646.5, 1525.5, 1686.5, 1486.5, 1725.5
100, 1603, 1577.07, 1536.5, 1617.5, 1497.5, 1656.5, 1458.5, 1695.5
104, 1559, 1508.81, 1469.5, 1548.5, 1430.5, 1586.5, 1393.5, 1624.5
108, 1451, 1474.25, 1435.5, 1513.5, 1397.5, 1551.5, 1359.5, 1588.5
112, 1373, 1394.93, 1357.5, 1432.5, 1319.5, 1469.5, 1283.5, 1506.5
116, 1363, 1298.85, 1262.5, 1335.5, 1226.5, 1371.5, 1191.5, 1406.5
120, 1220, 1285.6, 1249.5, 1321.5, 1213.5, 1357.5, 1178.5, 1392.5
124, 1181, 1184.39, 1149.5, 1219.5, 1115.5, 1253.5, 1081.5, 1287.5
128, 1048, 1140, 1105.5, 1174.5, 1072.5, 1207.5, 1039.5, 1240.5
132, 1039, 1044.38, 1011.5, 1077.5, 979.5, 1109.5, 947.5, 1140.5
136, 930, 999.892, 967.5, 1031.5, 936.5, 1063.5, 905.5, 1094.5
140, 869, 918.936, 888.5, 949.5, 857.5, 979.5, 828.5, 1009.5
144, 803, 843.278, 813.5, 872.5, 784.5, 901.5, 756.5, 929.5
148, 737, 770, 741.5, 798.5, 714.5, 825.5, 687.5, 852.5
152, 713, 722.356, 695.5, 749.5, 668.5, 776.5, 642.5, 802.5
156, 638, 680.119, 653.5, 706.5, 627.5, 732.5, 602.5, 758.5
160, 602, 648.337, 622.5, 674.5, 597.5, 699.5, 572.5, 724.5
164, 562, 584.23, 559.5, 608.5, 535.5, 632.5, 511.5, 656.5
168, 548, 530.412, 506.5, 553.5, 483.5, 576.5, 461.5, 599.5
172, 514, 510.362, 487.5, 533.5, 464.5, 555.5, 442.5, 577.5
176, 424, 445.718, 424.5, 467.5, 403.5, 488.5, 382.5, 508.5
180, 395, 425.31, 404.5, 446.5, 383.5, 466.5, 363.5, 487.5
184, 379, 396.396, 376.5, 416.5, 356.5, 436.5, 336.5, 455.5
188, 334, 374.047, 354.5, 393.5, 334.5, 413.5, 316.5, 431.5
192, 318, 343.267, 324.5, 362.5, 305.5, 380.5, 287.5, 398.5
196, 346, 313.158, 294.5, 331.5, 277.5, 348.5, 260.5, 366.5
200, 278, 302.358, 284.5, 320.5, 267.5, 337.5, 250.5, 354.5
204, 274, 281.402, 264.5, 298.5, 247.5, 315.5, 231.5, 331.5
208, 246, 255.429, 238.5, 271.5, 223.5, 287.5, 207.5, 303.5
212, 242, 237.443, 221.5, 253.5, 206.5, 268.5, 191.5, 283.5
216, 204, 232.919, 217.5, 248.5, 201.5, 263.5, 187.5, 278.5
220, 205, 208.992, 194.5, 223.5, 179.5, 238.5, 165.5, 252.5
224, 185, 189.744, 175.5, 203.5, 161.5, 217.5, 148.5, 231.5
228, 187, 178.964, 165.5, 192.5, 151.5, 206.5, 138.5, 219.5
232, 166, 172.774, 159.5, 186.5, 146.5, 199.5, 133.5, 212.5
236, 148, 153.686, 140.5, 166.5, 128.5, 178.5, 116.5, 190.5
240, 172, 161.967, 148.5, 175.5, 136.5, 187.5, 123.5, 200.5
244, 121, 139.066, 126.5, 151.5, 115.5, 163.5, 103.5, 174.5
248, 115, 133.35, 121.5, 145.5, 109.5, 156.5, 98.5, 168.5
