energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 549, 510.853, 487.5, 533.5, 465.5, 556.5, 443.5, 578.5
44, 482, 505.485, 482.5, 528.5, 460.5, 550.5, 438.5, 572.5
48, 522, 552.761, 528.5, 576.5, 505.5, 600.5, 482.5, 623.5
52, 601, 581.593, 557.5, 606.5, 532.5, 630.5, 509.5, 653.5
56, 650, 657.777, 631.5, 683.5, 606.5, 709.5, 581.5, 734.5
60, 718, 751.185, 723.5, 779.5, 695.5, 806.5, 669.5, 833.5
64, 928, 857.025, 827.5, 886.5, 798.5, 915.5, 769.5, 944.5
68, 1052, 961.248, 929.5, 992.5, 898.5, 1023.5, 868.5, 1053.5
72, 1170, 1084.83, 1051.5, 1118.5, 1018.5, 1151.5, 986.5, 1183.5
76, 1198, 1152.32, 1117.5, 1186.5, 1084.5, 1220.5, 1051.5, 1253.5
80, 1307, 1205.57, 1170.5, 1240.5, 1135.5, 1275.5, 1102.5, 1309.5
84, 1239, 1269.14, 1233.5, 1305.5, 1197.5, 1340.5, 1162.5, 1375.5
88, 1297, 1303.7, 1267.5, 1340.5, 1231.5, 1376.5, 1196.5, 1411.5
92, 1353, 1287.68, 1251.5, 1324.5, 1215.5, 1359.5, 1180.5, 1394.5
96, 1292, 1281.8, 1245.5, 1318.5, 1209.5, 1353.5, 1175.5, 1388.5
100, 1208, 1245.84, 1210.5, 1281.5, 1174.5, 1316.5, 1140.5, 1351.5
104, 1245, 1218.89, 1183.5, 1254.5, 1148.5, 1289.5, 1114.5, 1322.5
108, 1157, 1154.03, 1119.5, 1188.5, 1085.5, 1222.5, 1052.5, 1255.5
112, 1102, 1113.28, 1079.5, 1147.5, 1046.5, 1180.5, 1013.5, 1212.5
116, 1089, 1059.82, 1026.5, 1092.5, 994.5, 1125.5, 962.5, 1156.5
120, 1028, 1005.05, 972.5, 1037.5, 941.5, 1068.5, 910.5, 1099.5
124, 958, 933.945, 902.5, 964.5, 872.5, 995.5, 842.5, 1025.5
128, 945, 911.844, 881.5, 942.5, 851.5, 972.5, 821.5, 1001.5
132, 831, 847.309, 817.5, 876.5, 788.5, 905.5, 760.5, 934.5
136, 756, 797.209, 768.5, 825.5, 740.5, 854.5, 712.5, 881.5
140, 774, 742.342, 714.5, 770.5, 687.5, 797.5, 660.5, 823.5
144, 683, 678.139, 651.5, 704.5, 625.5, 730.5, 600.5, 755.5
148, 622, 626.105, 600.5, 651.5, 575.5, 676.5, 551.5, 700.5
152, 637, 597.356, 572.5, 622.5, 548.5, 646.5, 524.5, 670.5
156, 574, 547.926, 524.5, 571.5, 500.5, 595.5, 477.5, 617.5
160, 506, 504.73, 481.5, 527.5, 459.5, 550.5, 437.5, 571.5
164, 498, 478.816, 456.5, 501.5, 434.5, 522.5, 413.5, 544.5
168, 446, 435.222, 413.5, 456.5, 393.5, 477.5, 372.5, 497.5
172, 415, 397.272, 376.5, 417.5, 357.5, 437.5, 337.5, 456.5
176, 385, 380.435, 360.5, 400.5, 341.5, 419.5, 322.5, 438.5
180, 351, 353.077, 333.5, 372.5, 315.5, 391.5, 296.5, 409.5
184, 330, 323.824, 305.5, 342.5, 287.5, 360.5, 269.5, 377.5
188, 292, 298.84, 281.5, 316.5, 263.5, 333.5, 247.5, 350.5
192, 278, 290.232, 272.5, 307.5, 255.5, 324.5, 239.5, 341.5
196, 247, 261.897, 245.5, 278.5, 229.5, 294.5, 213.5, 310.5
200, 248, 242.984, 226.5, 259.5, 211.5, 274.5, 196.5, 289.5
204, 222, 222.746, 207.5, 238.5, 192.5, 253.5, 177.5, 267.5
208, 177, 201.714, 187.5, 216.5, 172.5, 230.5, 159.5, 244.5
212, 188, 193.741, 179.5, 208.5, 165.5, 222.5, 151.5, 235.5
216, 188, 181.99, 168.5, 195.5, 154.5, 209.5, 141.5, 222.5
220, 198, 178.124, 164.5, 191.5, 150.5, 205.5, 138.5, 218.5
224, 153, 170.936, 157.5, 184.5, 144.5, 197.5, 131.5, 210.5
228, 149, 162.955, 149.5, 176.5, 136.5, 188.5, 124.5, 201.5
232, 134, 149.432, 136.5, 162.5, 124.5, 174.5, 112.5, 186.5
236, 140, 138.023, 125.5, 150.5, 114.5, 161.5, 102.5, 173.5
240, 98, 141.232, 128.5, 153.5, 117.5, 165.5, 105.5, 177.5
244, 133, 117.99, 106.5, 129.5, 95.5, 140.5, 85.5, 150.5
248, 128, 118.476, 107.5, 129.5, 96.5, 140.5, 85.5, 151.5
