energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 1424, 1387.33, 1349.5, 1425.5, 1312.5, 1462.5, 1276.5, 1498.5
44, 1544, 1450.34, 1411.5, 1488.5, 1373.5, 1526.5, 1336.5, 1563.5
48, 1650, 1621.62, 1580.5, 1662.5, 1540.5, 1702.5, 1501.5, 1741.5
52, 1866, 1770.14, 1727.5, 1812.5, 1685.5, 1854.5, 1644.5, 1895.5
56, 2080, 2002.14, 1956.5, 2047.5, 1912.5, 2091.5, 1868.5, 2135.5
60, 2437, 2245.54, 2197.5, 2293.5, 2150.5, 2340.5, 2104.5, 2386.5
64, 2558, 2506.01, 2455.5, 2556.5, 2405.5, 2606.5, 2356.5, 2655.5
68, 2801, 2773.72, 2720.5, 2826.5, 2668.5, 2879.5, 2616.5, 2930.5
72, 2960, 2941.83, 2887.5, 2996.5, 2833.5, 3050.5, 2780.5, 3103.5
76, 3119, 3112.46, 3056.5, 3168.5, 3000.5, 3224.5, 2946.5, 3278.5
80, 3180, 3197.74, 3140.5, 3254.5, 3084.5, 3311.5, 3029.5, 3366.5
84, 3358, 3247.67, 3190.5, 3305.5, 3133.5, 3361.5, 3078.5, 3417.5
88, 3332, 3285.94, 3228.5, 3343.5, 3171.5, 3400.5, 3115.5, 3456.5
92, 3352, 3232.13, 3174.5, 3289.5, 3118.5, 3346.5, 3062.5, 3401.5
96, 3184, 3115.08, 3058.5, 3171.5, 3003.5, 3226.5, 2948.5, 3281.5
100, 3193, 3062.89, 3007.5, 3118.5, 2951.5, 3173.5, 2898.5, 3227.5
104, 2961, 2914.14, 2859.5, 2968.5, 2805.5, 3022.5, 2753.5, 3074.5
108, 2797, 2777.43, 2724.5, 2830.5, 2671.5, 2883.5, 2620.5, 2934.5
112, 2667, 2722.26, 2669.5, 2774.5, 2617.5, 2826.5, 2566.5, 2877.5
116, 2612, 2560.76, 2509.5, 2611.5, 2459.5, 2662.5, 2410.5, 2711.5
120, 2445, 2372.79, 2323.5, 2421.5, 2275.5, 2470.5, 2227.5, 2517.5
124, 2215, 2261.9, 2213.5, 2309.5, 2166.5, 2357.5, 2120.5, 2403.5
128, 2149, 2101.93, 2055.5, 2148.5, 2009.5, 2193.5, 1965.5, 2238.5
132, 2036, 1937.27, 1892.5, 1981.5, 1848.5, 2025.5, 1806.5, 2068.5
136, 1920, 1895.29, 1851.5, 1939.5, 1807.5, 1982.5, 1765.5, 2024.5
140, 1822, 1771.73, 1729.5, 1814.5, 1687.5, 1856.5, 1646.5, 1897.5
144, 1579, 1608.9, 1568.5, 1649.5, 1528.5, 1689.5, 1489.5, 1728.5
148, 1565, 1506.45, 1467.5, 1545.5, 1428.5, 1584.5, 1390.5, 1622.5
152, 1350, 1399.5, 1361.5, 1437.5, 1324.5, 1474.5, 1287.5, 1511.5
156, 1353, 1285.86, 1249.5, 1322.5, 1213.5, 1357.5, 1178.5, 1392.5
160, 1228, 1210.23, 1174.5, 1245.5, 1140.5, 1280.5, 1106.5, 1313.5
164, 1182, 1103.4, 1069.5, 1137.5, 1036.5, 1170.5, 1004.5, 1202.5
168, 1090, 1014.58, 982.5, 1046.5, 950.5, 1078.5, 919.5, 1109.5
172, 1029, 961.998, 930.5, 993.5, 899.5, 1024.5, 869.5, 1054.5
176, 973, 923.981, 893.5, 954.5, 862.5, 985.5, 833.5, 1014.5
180, 957, 811.212, 782.5, 840.5, 753.5, 868.5, 726.5, 896.5
184, 772, 793.617, 764.5, 822.5, 736.5, 850.5, 709.5, 877.5
188, 763, 722.82, 695.5, 750.5, 668.5, 776.5, 642.5, 803.5
192, 754, 657.727, 631.5, 683.5, 606.5, 709.5, 581.5, 734.5
196, 654, 634.583, 608.5, 660.5, 583.5, 685.5, 559.5, 709.5
200, 619, 580.186, 555.5, 604.5, 531.5, 628.5, 508.5, 652.5
204, 571, 556.99, 532.5, 581.5, 509.5, 604.5, 486.5, 627.5
208, 526, 511.545, 488.5, 534.5, 465.5, 557.5, 443.5, 579.5
212, 542, 480.04, 457.5, 502.5, 435.5, 524.5, 414.5, 545.5
216, 484, 453.781, 432.5, 475.5, 410.5, 496.5, 390.5, 517.5
220, 462, 430.217, 409.5, 451.5, 388.5, 472.5, 368.5, 492.5
224, 445, 404.348, 383.5, 424.5, 363.5, 444.5, 344.5, 464.5
228, 395, 357.705, 338.5, 377.5, 319.5, 395.5, 301.5, 414.5
232, 372, 347.691, 328.5, 366.5, 309.5, 385.5, 291.5, 403.5
236, 400, 326.588, 308.5, 345.5, 290.5, 363.5, 272.5, 380.5
240, 402, 316.879, 298.5, 335.5, 280.5, 352.5, 263.5, 370.5
244, 302, 293.433, 275.5, 311.5, 258.5, 328.5, 242.5, 344.5
248, 314, 262.71, 246.5, 279.5, 229.5, 295.5, 214.5, 311.5
