energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 1540, 1364.04, 1326.5, 1401.5, 1289.5, 1438.5, 1253.5, 1474.5
44, 1280, 1382.91, 1345.5, 1420.5, 1308.5, 1457.5, 1272.5, 1493.5
48, 1284, 1388.78, 1351.5, 1426.5, 1313.5, 1463.5, 1277.5, 1499.5
52, 1367, 1431.68, 1393.5, 1469.5, 1355.5, 1507.5, 1318.5, 1544.5
56, 1487, 1516.93, 1477.5, 1556.5, 1438.5, 1595.5, 1400.5, 1633.5
60, 1625, 1670.41, 1629.5, 1711.5, 1588.5, 1752.5, 1548.5, 1792.5
64, 1978, 1840, 1796.5, 1883.5, 1753.5, 1926.5, 1712.5, 1967.5
68, 2147, 2099.71, 2053.5, 2145.5, 2007.5, 2191.5, 1963.5, 2236.5
72, 2385, 2295.1, 2246.5, 2343.5, 2199.5, 2391.5, 2152.5, 2437.5
76, 2559, 2436.23, 2386.5, 2486.5, 2337.5, 2535.5, 2289.5, 2583.5
80, 2748, 2609.26, 2557.5, 2660.5, 2506.5, 2711.5, 2457.5, 2761.5
84, 2844, 2774.01, 2720.5, 2827.5, 2668.5, 2879.5, 2617.5, 2930.5
88, 3113, 2819.73, 2766.5, 2873.5, 2713.5, 2926.5, 2661.5, 2977.5
92, 2990, 2876.13, 2822.5, 2930.5, 2768.5, 2983.5, 2716.5, 3035.5
96, 2937, 2906.98, 2852.5, 2961.5, 2798.5, 3015.5, 2746.5, 3067.5
100, 2896, 2876.5, 2822.5, 2930.5, 2768.5, 2984.5, 2716.5, 3036.5
104, 2861, 2839.46, 2785.5, 2893.5, 2732.5, 2946.5, 2680.5, 2998.5
108, 2719, 2814.86, 2761.5, 2868.5, 2708.5, 2921.5, 2656.5, 2972.5
112, 2787, 2692.56, 2640.5, 2744.5, 2588.5, 2796.5, 2538.5, 2847.5
116, 2602, 2591.15, 2539.5, 2642.5, 2489.5, 2693.5, 2439.5, 2742.5
120, 2422, 2483.88, 2433.5, 2534.5, 2383.5, 2583.5, 2335.5, 2632.5
124, 2348, 2370.62, 2321.5, 2419.5, 2272.5, 2468.5, 2225.5, 2515.5
128, 2261, 2273.46, 2225.5, 2321.5, 2177.5, 2369.5, 2131.5, 2415.5
132, 2086, 2152.71, 2105.5, 2199.5, 2059.5, 2245.5, 2014.5, 2290.5
136, 2005, 2008.47, 1963.5, 2053.5, 1918.5, 2098.5, 1874.5, 2141.5
140, 1912, 1933.9, 1889.5, 1978.5, 1845.5, 2022.5, 1802.5, 2064.5
144, 1844, 1834.72, 1791.5, 1877.5, 1748.5, 1920.5, 1707.5, 1962.5
148, 1696, 1751, 1708.5, 1793.5, 1667.5, 1834.5, 1626.5, 1875.5
152, 1610, 1611.91, 1571.5, 1652.5, 1531.5, 1692.5, 1492.5, 1731.5
156, 1470, 1526.36, 1486.5, 1565.5, 1447.5, 1604.5, 1409.5, 1642.5
160, 1402, 1440.46, 1402.5, 1478.5, 1364.5, 1516.5, 1327.5, 1553.5
164, 1326, 1355.16, 1317.5, 1392.5, 1281.5, 1429.5, 1245.5, 1464.5
168, 1181, 1260.42, 1224.5, 1296.5, 1189.5, 1331.5, 1154.5, 1366.5
172, 1134, 1222.9, 1187.5, 1258.5, 1152.5, 1293.5, 1118.5, 1327.5
176, 1060, 1165.94, 1131.5, 1200.5, 1097.5, 1234.5, 1064.5, 1267.5
180, 1008, 1087.4, 1053.5, 1120.5, 1021.5, 1153.5, 989.5, 1185.5
184, 1006, 1042.06, 1009.5, 1074.5, 977.5, 1106.5, 945.5, 1138.5
188, 981, 972.68, 941.5, 1004.5, 909.5, 1035.5, 879.5, 1065.5
192, 885, 911.262, 880.5, 941.5, 850.5, 971.5, 821.5, 1001.5
196, 838, 863.5, 833.5, 893.5, 804.5, 922.5, 775.5, 951.5
200, 732, 832.931, 803.5, 862.5, 774.5, 891.5, 746.5, 919.5
204, 764, 778.199, 749.5, 806.5, 722.5, 834.5, 694.5, 861.5
208, 669, 745.942, 718.5, 773.5, 690.5, 800.5, 664.5, 827.5
212, 671, 705.321, 678.5, 732.5, 651.5, 758.5, 626.5, 784.5
216, 637, 676.092, 649.5, 702.5, 623.5, 728.5, 598.5, 753.5
220, 601, 650.648, 624.5, 676.5, 599.5, 702.5, 574.5, 726.5
224, 542, 646.522, 620.5, 672.5, 595.5, 697.5, 570.5, 722.5
228, 567, 602.976, 577.5, 627.5, 553.5, 652.5, 529.5, 676.5
232, 519, 561.324, 537.5, 585.5, 513.5, 609.5, 490.5, 632.5
236, 492, 548.143, 524.5, 572.5, 500.5, 595.5, 478.5, 618.5
240, 484, 516.679, 493.5, 539.5, 470.5, 562.5, 448.5, 584.5
244, 442, 509.013, 485.5, 532.5, 463.5, 554.5, 441.5, 576.5
248, 393, 481.208, 458.5, 503.5, 436.5, 525.5, 415.5, 546.5
