lambda absl
180 369360
140.609 369360
140.219 369360
139.832 369360
139.447 369360
139.064 369360
138.683 369360
138.305 369360
137.928 369360
137.553 369360
137.181 369360
136.81 369360
136.442 369360
136.075 369360
135.71 369360
135.348 369360
134.987 369360
134.628 369360
134.271 369360
133.916 369360
133.563 369360
133.212 369360
132.862 369360
132.514 369360
132.169 369360
131.825 369360
131.482 369360
131.142 369360
130.803 369360
130.466 369360
130.131 369360
129.797 369360
129.466 369360
129.135 369360
128.807 369360
128.48 369360
128.155 369360
127.832 369360
127.51 369360
127.19 369360
126.871 369360
126.554 369360
126.238 369360
125.925 206019
125.612 110017
125.301 60000.1
124.992 33383.4
124.684 18931.1
124.378 10931.7
124.073 6422.41
123.77 3835.82
123.468 2327.24
123.168 1433.31
122.869 895.494
122.572 567.207
122.276 364.013
121.982 236.564
121.688 155.599
121.397 103.532
121.106 69.655
120.818 47.3633
120.53 32.5358
120.244 22.5704
119.959 15.8055
119.676 11.169
119.393 7.96175
119.113 5.72334
118.833 4.14766
118.555 3.0293
100 3.0293
