lambda rayl
650 1830.26
608.378 1397.47
571.766 1084.31
539.31 853.323
510.341 680.021
484.326 548.015
460.834 446.09
439.516 366.422
420.083 303.458
402.295 253.19
385.953 212.689
370.887 179.779
356.952 152.83
344.027 130.604
332.005 112.15
320.795 96.7351
310.317 83.7844
300.503 72.8459
291.289 63.5611
282.624 55.6433
274.46 48.8617
266.754 43.0296
259.469 37.9947
252.571 33.6324
246.031 29.8398
239.821 26.532
233.916 23.6382
228.296 21.0994
222.939 18.866
217.827 16.8961
212.945 15.1545
208.277 13.6111
203.809 12.2403
199.529 11.0204
195.425 9.93256
191.486 8.96068
187.703 8.09085
184.067 7.31103
180.568 6.61078
177.201 5.98101
173.956 5.4138
170.828 4.90224
167.811 4.44024
164.899 4.02249
162.085 3.64429
159.367 3.30151
156.738 2.99049
154.194 2.708
151.731 2.45116
149.346 2.21743
147.035 2.00454
144.794 1.81044
142.621 1.63335
140.511 1.47163
138.464 1.32383
136.475 1.18865
134.542 1.06492
132.663 0.951566
130.837 0.847644
129.059 0.752288
127.33 0.664717
125.646 0.584223
124.006 0.510163
122.408 0.441956
120.851 0.379077
119.333 0.321055
117.853 0.267478
116.409 0.217998
115 0.172352
