lambda rindex
650 1.24927
608.378 1.24976
571.766 1.25029
539.31 1.25086
510.341 1.25146
484.326 1.2521
460.834 1.25277
439.516 1.25349
420.083 1.25424
402.295 1.25503
385.953 1.25586
370.887 1.25674
356.952 1.25765
344.027 1.25861
332.005 1.25962
320.795 1.26067
310.317 1.26176
300.503 1.26291
291.289 1.2641
282.624 1.26535
274.46 1.26664
266.754 1.26799
259.469 1.2694
252.571 1.27086
246.031 1.27239
239.821 1.27397
233.916 1.27562
228.296 1.27734
222.939 1.27912
217.827 1.28098
212.945 1.28291
208.277 1.28492
203.809 1.28701
199.529 1.28919
195.425 1.29146
191.486 1.29382
187.703 1.29628
184.067 1.29885
180.568 1.30152
177.201 1.30432
173.956 1.30723
170.828 1.31028
167.811 1.31347
164.899 1.31681
162.085 1.3203
159.367 1.32397
156.738 1.32783
154.194 1.33188
151.731 1.33615
149.346 1.34065
147.035 1.34542
144.794 1.35046
142.621 1.35581
140.511 1.36151
138.464 1.3676
136.475 1.37411
134.542 1.38111
132.663 1.38867
130.837 1.39687
129.059 1.4058
127.33 1.41562
125.646 1.42646
124.006 1.43856
122.408 1.45219
120.851 1.46775
119.333 1.48576
117.853 1.50701
116.409 1.53266
115 1.56455
