lambda scint
180 0
140.609 9.46517e-05
140.219 0.000166256
139.832 0.000286068
139.447 0.000482321
139.064 0.000797102
138.683 0.00129162
138.305 0.00205273
137.928 0.00320058
137.553 0.00489728
137.181 0.00735585
136.81 0.0108489
136.442 0.0157157
136.075 0.0223663
135.71 0.0312812
135.348 0.0430048
134.987 0.0581311
134.628 0.0772802
134.271 0.101066
133.916 0.130055
133.563 0.164718
133.212 0.205376
132.862 0.252149
132.514 0.304905
132.169 0.36322
131.825 0.426356
131.482 0.493252
131.142 0.562541
130.803 0.632588
130.466 0.701557
130.131 0.767485
129.797 0.828383
129.466 0.882339
129.135 0.927617
128.807 0.962757
128.48 0.98665
128.155 0.998599
127.832 0.998349
127.51 0.98609
127.19 0.96244
126.871 0.928391
126.554 0.885249
126.238 0.834551
125.925 0.777978
125.612 0.717269
125.301 0.654139
124.992 0.590204
124.684 0.526925
124.378 0.465563
124.073 0.407155
123.77 0.3525
123.468 0.302165
123.168 0.256494
122.869 0.215638
122.572 0.179577
122.276 0.148155
121.982 0.12111
121.688 0.0981086
121.397 0.0787688
121.106 0.0626876
120.818 0.049459
120.53 0.0386905
120.244 0.0300133
119.959 0.0230903
119.676 0.01762
119.393 0.0133382
119.113 0.0100174
118.833 0.00746507
100 0
