lambda emission
353.457 8.42105e-05
356.893 9.47368e-05
360.329 0.000105263
363.764 8.42105e-05
367.2 0.000115789
370.636 0.000147368
373.447 0.000168421
380.789 0.000273684
385.64 0.000810526
389.083 0.00125263
392.634 0.00267368
395.224 0.00406316
399.495 0.00705263
402.963 0.00889474
406.427 0.0104632
409.889 0.0118947
413.665 0.0134737
417.115 0.0142526
420.561 0.0148211
423.987 0.0143158
427.412 0.0137158
430.838 0.0131895
434.266 0.0127579
437.662 0.0123368
440.967 0.0120105
445.639 0.0112947
448.591 0.0104842
451.976 0.00958947
455.381 0.00873684
459.927 0.00788421
464.148 0.00716842
467.571 0.00650526
469.752 0.00616842
474.728 0.00504211
482.364 0.00415789
487.196 0.00363158
490.624 0.00321053
494.053 0.00286316
496.703 0.00256842
500.913 0.00225263
504.345 0.00203158
507.778 0.00189474
511.21 0.00170526
514.641 0.00143158
518.075 0.00133684
521.508 0.00121053
524.942 0.00109474
528.374 0.000905263
531.808 0.000821053
535.242 0.000736842
538.675 0.000610526
545.544 0.000505263
548.98 0.000494737
552.414 0.000421053
555.85 0.000431579
558.349 0.000442105
565.105 0.000378947
567.561 0.000378947
573.338 0.000347368
576.773 0.000284211
580.206 0.000136842
583.644 0.000273684
587.078 0.000221053
590.421 4.21053e-05
593.947 9.47368e-05
597.384 0.000136842
599.882 0.000105263
605.501 5.26316e-05
608.468 5.26316e-05
615.965 3.15789e-05
620.806 4.21053e-05
624.24 4.21053e-05
627.051 4.21053e-05
