lambda emission
350.087 0
353.899 0
360.485 0
367.764 0
375.737 0
383.362 9.39937e-05
391.681 0.000483194
398.614 0.000785805
404.159 0.00147973
408.319 0.00252151
414.558 0.00378007
417.678 0.00486552
420.797 0.00590753
425.65 0.00729673
430.503 0.00829492
433.969 0.00894585
439.515 0.00968321
446.447 0.010203
454.073 0.0105055
461.352 0.0103301
468.631 0.00993756
475.91 0.00906707
480.416 0.00858819
484.575 0.00797906
489.775 0.0070873
498.44 0.00610789
504.679 0.00532452
511.612 0.00473651
519.237 0.00410489
525.823 0.00345178
534.489 0.0027765
543.847 0.00203589
551.82 0.00144765
560.832 0.00101124
567.764 0.000814229
575.737 0.000660439
590.641 0.000396529
598.267 0.000264537
700 0
800 0
