lambda emission
374.148 0
379.545 0
382.955 0.000107493
386.932 0.000223924
388.938 0.000353948
391.645 0.000649836
394.859 0.00163547
397.058 0.00241773
398.75 0.00317359
400.273 0.00403688
401.457 0.0048419
402.641 0.0056907
403.995 0.00636436
405.348 0.00723062
406.871 0.00813184
408.055 0.00863923
410.593 0.0097555
412.623 0.0104762
414.653 0.011204
416.345 0.0120509
418.375 0.0127406
420.744 0.0136153
423.62 0.0144193
427.172 0.0148999
430.894 0.0145964
434.278 0.0139054
437.154 0.0130471
439.523 0.0124059
442.399 0.0117217
446.121 0.0111253
449.843 0.0107391
453.565 0.0103432
457.287 0.00976597
460.839 0.00911044
464.223 0.00831457
467.607 0.00759224
471.159 0.00677277
474.881 0.00604907
478.603 0.00544315
482.325 0.00490726
486.047 0.00445414
489.769 0.00395008
493.491 0.00352879
497.213 0.00318072
500.935 0.00277534
504.657 0.00249094
508.379 0.00220016
512.101 0.00197942
514.773 0.00177394
517.898 0.00153782
521.023 0.0014193
524.716 0.00130062
528.125 0.00112321
531.049 0.00105069
534.771 0.000899982
538.493 0.00076519
542.215 0.000681329
545.937 0.000600654
549.659 0.000519976
553.381 0.00044885
557.103 0.00038409
560.825 0.000335246
564.547 0.000299134
568.269 0.000240742
571.991 0.00020463
575.713 0.000171703
579.435 0.000132409
582.649 0.000131465
585.227 4.80248e-05
588.636 0
592.045 0
595.739 0
