lambda emission
352.612 2.62097e-07
356.921 2.62097e-07
361.231 2.62097e-07
365.54 2.62097e-07
369.849 2.62097e-07
374.159 2.62097e-07
378.468 2.62097e-07
382.777 2.62097e-07
387.086 2.62097e-07
391.397 9.50907e-05
394.928 0.000478931
396.897 0.00123305
398.082 0.00197063
398.877 0.00282146
399.675 0.00391991
400.342 0.00494197
401.193 0.006101
402.073 0.00745233
402.869 0.00840063
403.664 0.0092462
404.46 0.0101787
405.646 0.0109479
407.615 0.0117502
411.145 0.0120581
415.454 0.0120092
418.988 0.0126217
421.348 0.0133587
423.121 0.0140825
424.699 0.0148807
426.276 0.0156393
429.225 0.0164547
432.748 0.0162252
435.088 0.0154449
436.841 0.0147384
438.399 0.0140588
439.956 0.013316
441.71 0.0126316
443.659 0.0119615
446.196 0.0112416
449.908 0.0105207
454.212 0.0100954
458.514 0.00960396
462.227 0.00891034
465.155 0.00819177
467.888 0.00746926
470.62 0.00674674
473.548 0.00599036
476.868 0.00524753
480.581 0.00456791
484.686 0.00394002
488.988 0.00342852
493.291 0.00293138
497.594 0.00247159
501.897 0.00203767
506.201 0.00167272
510.507 0.00136524
514.813 0.00113248
519.119 0.000914083
523.426 0.000758901
527.734 0.000626714
532.041 0.000508901
536.349 0.000419819
540.658 0.000345101
544.966 0.000270383
549.275 0.000215786
553.583 0.000189929
557.892 0.000143942
562.201 0.000126704
566.51 0.000106593
570.819 6.34879e-05
575.128 6.34879e-05
579.437 6.34879e-05
583.747 6.34879e-05
588.056 6.34879e-05
592.365 6.06149e-05
596.674 2.62097e-07
599.612 8.16532e-06
