bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
-5, -2.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 2.5, 0, 2222.27, 0, 0, 0, 0, 0, 0, 0, 2222.27
5, 7.5, 0, 0.940336, 0, 0, 0, 0, 0, 0, 0, 0.940336
10, 12.5, 0, 0.915434, 0, 0, 0, 0, 0, 0, 0, 0.915434
15, 17.5, 0, 0.880649, 0, 0, 0, 0, 0, 0, 0, 0.880649
20, 22.5, 0, 0.854169, 0, 0, 0, 0, 0, 0, 0, 0.854169
25, 27.5, 0, 0.834, 0, 0, 0, 0, 0, 0, 0, 0.834
30, 32.5, 0, 0.825125, 0, 0, 0, 0, 0, 0, 0, 0.825125
35, 37.5, 0, 0.819084, 0, 0, 0, 0, 0, 0, 0, 0.819084
40, 42.5, 5865, 34.1372, 26.4417, 0.899548, 4.06762, 0.00454842, 0.438967, 0.0873696, 1.38073, 0.816726
45, 47.5, 4780, 35.335, 27.5842, 0.916243, 4.1046, 0.00358748, 0.447753, 0.0553843, 1.40888, 0.814277
50, 52.5, 4496, 37.4225, 29.0741, 0.805231, 4.61361, 0.00384373, 0.457167, 0.0573767, 1.59932, 0.81187
55, 57.5, 4964, 39.7114, 30.6398, 0.909381, 5.37255, 0.00384373, 0.481584, 0.0607443, 1.43391, 0.809616
60, 62.5, 5267, 42.3072, 32.3214, 0.973703, 6.17966, 0.00467654, 0.462816, 0.0678322, 1.48709, 0.809979
65, 67.5, 5682, 44.104, 33.7179, 1.05439, 6.41695, 0.00352342, 0.501698, 0.0737653, 1.52619, 0.809584
70, 72.5, 6187, 47.3835, 35.5248, 1.0993, 7.67489, 0.00326717, 0.535588, 0.0810025, 1.65445, 0.810248
75, 77.5, 6404, 48.8887, 36.4588, 1.16069, 8.04191, 0.00442029, 0.589533, 0.083824, 1.74087, 0.808665
80, 82.5, 6624, 51.5637, 38.2648, 1.18944, 8.58618, 0.0052531, 0.662246, 0.0853987, 1.94186, 0.828537
85, 87.5, 6656, 54.1296, 39.749, 1.25429, 9.34761, 0.0047406, 0.754683, 0.0925664, 2.09866, 0.828013
90, 92.5, 6641, 56.5118, 40.952, 1.32949, 10.1649, 0.00506091, 0.82106, 0.0951124, 2.34071, 0.803481
95, 97.5, 6574, 58.7759, 42.4954, 1.49829, 10.3787, 0.0047406, 0.891621, 0.0984571, 2.59488, 0.813743
100, 102.5, 6625, 60.6922, 43.9232, 1.50099, 10.5386, 0.0047406, 0.940186, 0.100087, 2.87994, 0.804466
105, 107.5, 6064, 63.6327, 45.8981, 1.52757, 11.1141, 0.00627809, 0.993055, 0.101174, 3.18416, 0.808177
110, 112.5, 5966, 65.5417, 47.2113, 1.5701, 11.4185, 0.00582966, 1.077, 0.10198, 3.34488, 0.812147
115, 117.5, 5665, 67.691, 48.4487, 1.69603, 11.8525, 0.00627809, 1.22981, 0.101538, 3.54821, 0.807984
120, 122.5, 5444, 69.7377, 50.0537, 1.68194, 12.0644, 0.00647028, 1.31573, 0.10393, 3.70619, 0.805303
125, 127.5, 5055, 73.5019, 51.845, 1.78919, 12.5941, 0.00698278, 2.30768, 0.10559, 4.0499, 0.803521
130, 132.5, 4806, 75.027, 53.832, 1.96364, 12.4749, 0.0071109, 1.47222, 0.106204, 4.36742, 0.803471
135, 137.5, 4467, 76.5926, 55.4904, 2.03572, 12.0874, 0.00839215, 1.32584, 0.110372, 4.73147, 0.802968
140, 142.5, 4138, 78.9444, 57.2617, 1.78956, 12.4951, 0.00743121, 1.37043, 0.116003, 5.101, 0.803111
145, 147.5, 4116, 82.6078, 59.8107, 1.97839, 12.6458, 0.00736715, 1.57228, 0.120959, 5.66799, 0.804268
150, 152.5, 4655, 99.3163, 72.4744, 2.3289, 14.3637, 0.0103781, 2.0628, 0.133035, 7.13748, 0.805591
155, 157.5, 7208, 171.73, 128.776, 3.52574, 22.5564, 0.0139015, 3.30674, 0.226608, 12.5185, 0.806493
160, 162.5, 8516, 224.21, 170.258, 4.64557, 28.0888, 0.020628, 4.19149, 0.426455, 15.7703, 0.80928
165, 167.5, 8472, 247.195, 190.004, 5.02218, 29.7068, 0.0208202, 4.55449, 0.390118, 16.6243, 0.872755
170, 172.5, 8611, 268.126, 208.093, 5.0926, 31.6099, 0.0215249, 4.90619, 0.309318, 17.2531, 0.840038
175, 177.5, 8511, 282.272, 220.56, 5.39525, 32.5904, 0.0219093, 5.05278, 0.315424, 17.5338, 0.802096
180, 182.5, 8889, 305.05, 239.496, 6.07813, 34.4387, 0.0235108, 5.34575, 0.33182, 18.486, 0.850646
185, 187.5, 9071, 331.374, 261.112, 6.27596, 37.4266, 0.0276108, 5.73308, 0.347665, 19.1769, 1.27462
190, 192.5, 9045, 345.503, 273.955, 6.55633, 37.6889, 0.0297249, 6.46836, 0.359252, 19.652, 0.792878
195, 197.5, 8541, 360.106, 288.325, 6.75964, 37.5538, 0.0284436, 5.91018, 0.36536, 20.3692, 0.794126
200, 202.5, 8424, 372.405, 300.462, 6.73208, 37.7831, 0.0324795, 6.18501, 0.368366, 20.047, 0.794453
205, 207.5, 7903, 406.137, 307.682, 7.10111, 36.83, 0.0335686, 34.123, 0.364228, 19.2086, 0.794927
210, 212.5, 7682, 388.824, 313.92, 7.37783, 35.7069, 0.0386295, 12.0401, 0.344167, 18.6017, 0.794792
215, 217.5, 7360, 387.395, 320.119, 7.93185, 35.4331, 0.0433701, 4.54753, 0.354883, 18.1696, 0.795953
220, 222.5, 6816, 394.812, 326.578, 9.16018, 35.3249, 0.0451638, 4.48551, 0.337981, 18.084, 0.796752
225, 227.5, 6762, 400.76, 333.18, 9.51413, 34.1271, 0.0472779, 4.40972, 0.341654, 18.3432, 0.797386
230, 232.5, 6301, 408.176, 342.194, 9.10275, 32.9522, 0.0434982, 4.40279, 0.34427, 18.3393, 0.797433
235, 237.5, 6410, 415.377, 347.116, 8.86614, 32.9421, 0.0429217, 4.2316, 0.330607, 21.0484, 0.79946
240, 242.5, 5754, 530.886, 354.824, 8.63405, 31.3351, 0.0429217, 4.16687, 0.320894, 130.763, 0.799478
245, 247.5, 5690, 422.805, 363.514, 8.51408, 30.9771, 0.0418326, 4.09974, 0.331617, 14.5256, 0.800286
250, 252.5, 5296, 427.04, 369.767, 8.11769, 29.755, 0.042217, 4.05524, 0.326829, 14.176, 0.800234
255, 257.5, 5080, 436.289, 377.372, 8.10485, 29.7981, 0.0383092, 4.02201, 0.327891, 15.8242, 0.80208
260, 262.5, 4927, 443.346, 386.418, 7.94561, 28.9019, 0.038117, 3.97948, 0.321787, 14.9385, 0.802648
265, 267.5, 4774, 447.916, 389.363, 7.60919, 28.176, 0.0393342, 6.99188, 0.325299, 14.6089, 0.803254
270, 272.5, 4510, 457.536, 397.122, 7.43355, 27.2298, 0.0385654, 8.40414, 0.324418, 16.1797, 0.804105
275, 277.5, 4358, 458.573, 403.181, 7.62172, 26.8175, 0.0355545, 3.71185, 0.362382, 16.0381, 0.804778
280, 282.5, 4148, 463.328, 409.696, 7.45371, 25.9118, 0.0368358, 3.67061, 0.327643, 15.4258, 0.805683
285, 287.5, 3981, 472.533, 415.951, 7.00856, 24.811, 0.0362592, 3.61397, 4.34069, 15.9654, 0.806397
290, 292.5, 3889, 589.187, 426.066, 6.84396, 24.7683, 0.0347217, 3.6383, 0.337775, 126.69, 0.807322
295, 297.5, 3968, 641.633, 431.166, 7.02195, 24.1786, 0.0356186, 3.66732, 0.194859, 174.56, 0.807961
300, 302.5, 3586, 483.487, 439.725, 6.53411, 23.5377, 0.0340811, 3.71663, 0.194503, 8.93662, 0.808895
305, 307.5, 3399, 488.413, 445.686, 6.54713, 22.6011, 0.0333123, 3.70755, 0.195503, 8.83299, 0.809648
310, 312.5, 3317, 498.629, 452.993, 6.47606, 24.9633, 0.0335045, 3.65501, 0.18828, 9.50908, 0.810922
315, 317.5, 3201, 503.924, 461.255, 6.49468, 21.7171, 0.0307498, 3.63131, 0.189226, 9.79375, 0.811965
320, 322.5, 2989, 510.607, 468.755, 6.23397, 21.0104, 0.0308139, 3.71352, 0.195829, 9.85397, 0.813132
325, 327.5, 2925, 523.34, 474.779, 6.25644, 20.5081, 0.0285077, 9.53653, 1.5833, 9.83403, 0.813798
330, 332.5, 2723, 522.991, 480.999, 6.25238, 20.5245, 0.030942, 4.12634, 0.191635, 10.0514, 0.814195
