bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
-5, -2.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 2.5, 0, 2297.23, 0, 0, 0, 0, 0, 0, 0, 2297.23
5, 7.5, 0, 0.971409, 0, 0, 0, 0, 0, 0, 0, 0.971409
10, 12.5, 0, 0.945663, 0, 0, 0, 0, 0, 0, 0, 0.945663
15, 17.5, 0, 0.909704, 0, 0, 0, 0, 0, 0, 0, 0.909704
20, 22.5, 0, 0.882329, 0, 0, 0, 0, 0, 0, 0, 0.882329
25, 27.5, 0, 0.86148, 0, 0, 0, 0, 0, 0, 0, 0.86148
30, 32.5, 0, 0.852305, 0, 0, 0, 0, 0, 0, 0, 0.852305
35, 37.5, 0, 0.846059, 0, 0, 0, 0, 0, 0, 0, 0.846059
40, 42.5, 12661, 343.856, 31.964, 65.766, 213.825, 2.00188, 5.64776, 3.70454, 20.1036, 0.843621
45, 47.5, 11733, 338.074, 32.9759, 63.9803, 209.44, 1.95458, 5.5625, 3.62976, 19.6898, 0.841089
50, 52.5, 11988, 337.826, 34.3813, 63.8218, 207.88, 1.95019, 5.46233, 3.60917, 19.8828, 0.838601
55, 57.5, 13553, 341.704, 35.8368, 65.4419, 209.21, 1.91909, 5.52027, 3.61589, 19.3236, 0.836271
60, 62.5, 15996, 351.718, 37.0474, 66.2711, 216.749, 1.95327, 5.45693, 3.6901, 19.7138, 0.836646
65, 67.5, 18612, 376.519, 38.7901, 71.4116, 233.843, 2.02038, 5.6549, 3.86079, 20.1018, 0.836238
70, 72.5, 21457, 410.471, 40.4895, 77.4588, 257.974, 2.13513, 6.03171, 4.10748, 21.4374, 0.836924
75, 77.5, 23880, 450.551, 41.3724, 85.8492, 286.48, 2.27486, 6.46538, 4.41351, 22.8607, 0.835288
80, 82.5, 25915, 496.955, 43.5883, 94.7755, 318.699, 2.50736, 6.9658, 4.70177, 24.8612, 0.855829
85, 87.5, 27401, 544.853, 44.9361, 104.489, 352.29, 2.67583, 7.64214, 5.07414, 26.8906, 0.85529
90, 92.5, 27657, 589.049, 46.1171, 112.479, 384.006, 2.85387, 8.19173, 5.42894, 29.1412, 0.82993
95, 97.5, 27923, 628.414, 47.6208, 121.085, 409.626, 3.03415, 9.2459, 5.70065, 31.2609, 0.840538
100, 102.5, 27820, 660.014, 49.014, 126.074, 432.62, 3.16424, 9.21989, 6.0169, 33.0741, 0.830947
105, 107.5, 26217, 687.236, 50.9136, 131.352, 450.47, 3.30529, 9.29839, 6.28014, 34.7818, 0.834784
110, 112.5, 25389, 706.638, 51.9925, 135.266, 462.899, 3.42489, 9.69639, 6.51574, 36.0051, 0.838888
115, 117.5, 23856, 719.776, 53.7704, 137.529, 470.27, 3.52014, 10.1702, 6.68833, 36.9943, 0.834584
120, 122.5, 22506, 730.171, 55.1143, 140.221, 475.544, 3.60267, 10.46, 6.77171, 37.6257, 0.831813
125, 127.5, 20771, 737.147, 56.9798, 140.144, 475.681, 3.6854, 14.1039, 6.81998, 38.9027, 0.82997
130, 132.5, 19422, 734.15, 59.0684, 140.093, 473.237, 3.73434, 10.9977, 6.86972, 39.3189, 0.829919
135, 137.5, 17842, 727.766, 60.4286, 139.808, 465.299, 3.6812, 10.4024, 6.89106, 40.4266, 0.829399
140, 142.5, 16619, 717.928, 62.4669, 136.248, 456.101, 3.67602, 10.4687, 6.79995, 41.3378, 0.829547
145, 147.5, 15517, 717.872, 65.0667, 135.428, 451.682, 3.69583, 11.234, 6.83806, 43.0963, 0.830743
150, 152.5, 17412, 816.601, 78.9812, 157.841, 501.552, 4.18326, 14.7362, 7.72858, 50.7465, 0.83211
155, 157.5, 27094, 1363.12, 141.031, 263.769, 829.87, 7.13259, 22.3251, 13.1456, 85.0143, 0.833043
160, 162.5, 31817, 1784.53, 185.664, 334.272, 1100.9, 9.44812, 27.5145, 17.948, 107.946, 0.835923
165, 167.5, 31624, 1887.45, 206.847, 350.795, 1158.95, 10.0745, 29.4012, 19.1338, 111.339, 0.901539
170, 172.5, 30895, 1932.2, 225.854, 361.881, 1170.17, 10.2981, 30.845, 19.7269, 112.563, 0.867721
175, 177.5, 29656, 1945.68, 238.886, 364.246, 1167.18, 10.4016, 31.2505, 20.8214, 112.076, 0.828496
180, 182.5, 29092, 2006.44, 258.161, 369.037, 1196.7, 10.7323, 31.743, 22.294, 116.899, 0.878685
185, 187.5, 28579, 2054.02, 280.746, 376.881, 1210.24, 11.0634, 32.3335, 22.7513, 118.688, 1.31696
190, 192.5, 27169, 2049.64, 293.361, 375.566, 1195.88, 11.046, 33.1281, 22.7487, 117.095, 0.818969
195, 197.5, 25318, 2065.96, 307.915, 372.652, 1199.68, 11.1909, 33.4131, 22.6925, 117.597, 0.820258
200, 202.5, 23953, 2047.83, 320.31, 366.676, 1180.05, 11.2674, 34.1898, 22.1702, 112.351, 0.820597
205, 207.5, 22035, 2036.24, 327.533, 356.408, 1146.28, 11.4844, 67.1644, 21.243, 105.312, 0.821087
210, 212.5, 20563, 1969.66, 333.342, 352.024, 1111.19, 12.1973, 39.3278, 20.4683, 100.291, 0.820947
215, 217.5, 19144, 1945.89, 339.909, 356.682, 1090.79, 12.7048, 28.887, 19.4589, 96.6302, 0.822147
220, 222.5, 17566, 1935.65, 346.44, 358.037, 1077.36, 12.4818, 27.9414, 18.8536, 93.714, 0.822973
225, 227.5, 16568, 1899.57, 353.543, 349.991, 1046.83, 12.0095, 26.6839, 18.176, 91.5131, 0.823628
230, 232.5, 15064, 1853.35, 362.097, 337.765, 1008.11, 11.4858, 26.2788, 18.0787, 88.707, 0.823677
235, 237.5, 14723, 1805, 367.265, 323.546, 971.991, 10.9196, 24.0481, 17.2717, 89.1342, 0.825773
240, 242.5, 13295, 1905.38, 374.838, 311.646, 932.833, 10.388, 23.0895, 16.6718, 235.088, 0.825792
245, 247.5, 12553, 1702.07, 383.766, 298.266, 897.118, 9.93555, 22.2252, 16.096, 73.84, 0.826626
250, 252.5, 11623, 1656.57, 389.917, 286.35, 861.12, 9.56752, 21.4736, 16.2382, 71.0723, 0.826572
255, 257.5, 10776, 1623.41, 397.36, 276.949, 828.591, 9.13808, 21.0247, 15.0053, 74.5135, 0.828481
260, 262.5, 10193, 1579.18, 406.527, 262.346, 798.728, 8.79275, 20.1945, 14.4949, 67.2664, 0.829068
265, 267.5, 9663, 1550.57, 409.591, 254.034, 769.757, 8.42419, 29.1932, 14.0864, 64.6539, 0.829694
270, 272.5, 8965, 1527.28, 417.649, 244.241, 742.362, 8.12805, 33.2759, 13.802, 66.9923, 0.830574
275, 277.5, 8434, 1487.99, 423.445, 235.048, 715.652, 7.79505, 18.4375, 22.8639, 63.9205, 0.83127
280, 282.5, 7798, 1447.3, 429.921, 226.927, 690.95, 7.49984, 17.6668, 12.7538, 60.7531, 0.832206
285, 287.5, 7473, 1423.61, 436.476, 219.287, 666.453, 7.26944, 16.8657, 17.2456, 59.1791, 0.832944
290, 292.5, 7006, 1543.62, 447.038, 212.209, 644.649, 7.03871, 16.4453, 12.1013, 203.301, 0.8339
295, 297.5, 6889, 1580.49, 451.534, 204.247, 624.813, 6.82484, 16.6922, 11.6687, 263.877, 0.83456
300, 302.5, 6331, 1341.67, 460.653, 196.722, 603.521, 6.57817, 15.8288, 11.3964, 46.1367, 0.835526
305, 307.5, 5988, 1321.07, 466.559, 190.593, 584.916, 6.43903, 15.9655, 11.2185, 44.5387, 0.836305
310, 312.5, 5684, 1411.96, 473.885, 185.355, 674.728, 6.2539, 14.9683, 11.0073, 44.9271, 0.837622
315, 317.5, 5303, 1281.3, 481.691, 179.645, 543.852, 6.04685, 14.7729, 10.8462, 43.6028, 0.8387
320, 322.5, 4998, 1267.67, 489.518, 174.728, 527.689, 5.87858, 15.3194, 10.6754, 43.019, 0.839905
325, 327.5, 4827, 1270.61, 495.452, 168.789, 511.842, 5.74147, 33.835, 12.2313, 41.8775, 0.840595
330, 332.5, 4447, 1239.05, 501.699, 163.503, 497.684, 5.57694, 17.4662, 10.3914, 41.8898, 0.841005
335, 337.5, 4324, 1322.57, 510.664, 158.62, 483.285, 5.47525, 112.512, 10.2065, 40.9624, 0.84237
340, 342.5, 4169, 1213.23, 514.492, 154.639, 470.914, 5.33788, 16.5723, 9.93286, 40.5042, 0.842576
345, 347.5, 3873, 1212.07, 520.673, 151.283, 457.436, 5.23698, 10.302, 9.71152, 56.5867, 0.844027
350, 352.5, 4166, 1775.96, 526.559, 147.199, 444.852, 5.12008, 10.1638, 9.55528, 631.67, 0.844664
355, 357.5, 3431, 1161.69, 533.4, 142.508, 433.851, 5.02856, 10.2484, 9.49266, 26.3107, 0.846357
360, 362.5, 3330, 1150.53, 538.131, 140.407, 422.158, 4.91343, 9.83208, 9.40304, 24.8333, 0.847355
365, 367.5, 3238, 1141.85, 545.696, 135.632, 411.431, 4.81627, 9.6846, 9.35865, 24.3846, 0.84801
370, 372.5, 3008, 1134.76, 549.493, 134.178, 402.271, 4.69654, 9.60292, 9.31965, 24.3525, 0.848685
375, 377.5, 2928, 1127.57, 557.441, 129.298, 392.418, 4.65652, 9.5076, 9.19375, 24.2044, 0.849897
380, 382.5, 2754, 1120.99, 563.084, 126.917, 382.945, 4.55031, 9.29122, 9.24186, 24.1116, 0.850605
385, 387.5, 2680, 1120.42, 569.86, 124.719, 374.023, 4.46365, 9.18599, 9.22265, 28.0928, 0.852089
390, 392.5, 2530, 1108.47, 573.605, 122.005, 365.329, 4.45243, 9.03136, 9.162, 24.0358, 0.852573
395, 397.5, 2433, 1102.13, 579.122, 118.993, 356.875, 4.32772, 9.09291, 9.11991, 23.7437, 0.853919
400, 402.5, 2271, 1096.6, 583.948, 116.158, 349.939, 4.29997, 8.87582, 8.84952, 23.6798, 0.85502
405, 407.5, 2199, 1100.76, 591.935, 115.069, 342.881, 4.22833, 13.8319, 8.05849, 23.8982, 0.85603
410, 412.5, 2115, 1093.57, 597.167, 113.898, 335.718, 4.14528, 10.7281, 7.50042, 23.5599, 0.857263
415, 417.5, 1996, 1089.12, 604, 110.373, 329.299, 4.11694, 9.64463, 7.31653, 23.5105, 0.857686
420, 422.5, 1926, 1083.7, 609.26, 108.469, 322.359, 4.0531, 8.32529, 7.0752, 23.2989, 0.859505
425, 427.5, 1823, 1077.17, 613.084, 106.086, 315.571, 3.98829, 8.28615, 6.93878, 22.3514, 0.860293
430, 432.5, 1821, 1072.02, 617.089, 104.516, 310.161, 3.93462, 8.17756, 6.81822, 20.4606, 0.861244
435, 437.5, 1699, 1077.65, 625.875, 107.567, 305.203, 3.8885, 8.28622, 6.62939, 19.3395, 0.862888
440, 442.5, 1578, 1065.75, 627.099, 101.725, 298.625, 3.81667, 8.43209, 6.44709, 18.742, 0.863022
445, 447.5, 1591, 1066.15, 636.344, 99.8409, 292.235, 3.80401, 8.39322, 6.39112, 18.2724, 0.864647
450, 452.5, 1564, 1068.12, 642.052, 98.3346, 288.334, 3.77121, 8.05383, 8.06098, 18.6488, 0.86538
455, 457.5, 1480, 1061.35, 644.424, 97.2904, 283.007, 3.71505, 7.93724, 6.11992, 17.992, 0.866297
460, 462.5, 1496, 1073.7, 647.401, 95.2727, 278.292, 3.69301, 23.3904, 5.96517, 18.8136, 0.867752
465, 467.5, 1381, 1056.35, 653.941, 93.78, 272.867, 3.60241, 8.15996, 5.87433, 17.2516, 0.868935
470, 472.5, 1324, 1056.47, 658.56, 92.9567, 269.454, 3.61369, 7.99833, 5.90242, 17.1108, 0.869971
475, 477.5, 1376, 1057.51, 664.233, 91.1947, 264.981, 3.55852, 9.20791, 5.67319, 17.7892, 0.870566
480, 482.5, 1251, 1054.59, 668.997, 89.3333, 259.61, 3.53543, 7.55661, 5.64074, 19.0429, 0.872237
485, 487.5, 1162, 1055.23, 673.204, 88.89, 256.244, 3.51935, 7.38611, 5.61561, 19.5011, 0.872479
490, 492.5, 1172, 1048.64, 675.842, 87.6569, 252.642, 3.48629, 7.4231, 5.55403, 15.1576, 0.873826
495, 497.5, 1194, 1045.58, 678.503, 86.2347, 248.616, 3.451, 7.60446, 5.50147, 14.796, 0.875054
500, 502.5, 1131, 1057.05, 680.959, 85.091, 258.757, 3.4361, 7.71925, 5.48888, 14.7212, 0.875822
505, 507.5, 1189, 1069.49, 685.436, 89.7171, 254.463, 3.42948, 9.05595, 11.412, 15.0987, 0.877624
510, 512.5, 1575, 1152.91, 687.048, 105.526, 301.914, 3.55832, 7.78327, 27.6991, 18.501, 0.88067
515, 517.5, 1081, 1039.06, 693.85, 81.7483, 232.876, 3.34229, 7.42836, 5.00783, 13.93, 0.87966
520, 522.5, 1092, 1040.21, 697.961, 81.0026, 230.162, 3.31638, 7.95108, 4.98756, 13.9473, 0.880525
525, 527.5, 1046, 1035.72, 699.106, 79.9645, 226.681, 3.30765, 7.18263, 4.92489, 13.6672, 0.881758
530, 532.5, 1035, 1038.65, 703.492, 79.898, 223.16, 3.25898, 7.14799, 4.86155, 15.9449, 0.88311
535, 537.5, 1101, 1031.3, 702.947, 77.5497, 220.919, 3.23496, 7.21704, 4.68909, 13.8573, 0.883766
540, 542.5, 1017, 1034.43, 709.022, 77.2939, 217.989, 3.23018, 7.36285, 4.51782, 14.1293, 0.885357
545, 547.5, 1026, 1038.76, 715.634, 77.253, 215.729, 3.18366, 8.25653, 4.45941, 13.3568, 0.886198
550, 552.5, 1014, 1034.25, 716.931, 76.4364, 212.314, 3.19285, 7.31751, 4.35193, 12.8178, 0.886994
555, 557.5, 1088, 1035.32, 720.417, 75.7597, 210.123, 3.17402, 7.73204, 4.32002, 12.9102, 0.888236
560, 562.5, 1004, 1034.63, 721.235, 74.7498, 207.334, 3.15086, 10.373, 4.26014, 12.6417, 0.889736
565, 567.5, 1090, 1035.59, 727.762, 73.9241, 205.588, 3.13984, 7.36916, 4.21768, 12.6992, 0.890353
570, 572.5, 1009, 1032.97, 726.75, 73.037, 203.077, 3.12062, 8.79226, 4.18048, 13.1172, 0.891584
575, 577.5, 964, 1028.8, 727.188, 72.4423, 199.583, 3.09687, 7.06295, 4.438, 14.0972, 0.893337
580, 582.5, 1175, 1146.26, 730.185, 72.2225, 198.187, 3.10533, 7.95128, 119.403, 14.3145, 0.894464
585, 587.5, 1035, 1027.39, 729.614, 71.1119, 195.58, 3.07174, 7.30269, 7.69378, 12.1249, 0.894913
590, 592.5, 977, 1022.35, 731.239, 70.9841, 194.199, 3.02877, 7.12948, 2.6747, 12.2018, 0.896105
595, 597.5, 999, 1026.58, 738.605, 70.4151, 191.766, 3.05068, 7.07231, 2.65359, 12.1186, 0.897196
600, 602.5, 1052, 1020.88, 737.204, 68.9553, 189.054, 3.02582, 7.04565, 2.6025, 12.0883, 0.898897
605, 607.5, 1245, 1255.6, 740.243, 69.325, 187.424, 3.01985, 7.20036, 2.57092, 244.914, 0.900117
610, 612.5, 1127, 1093.4, 739.793, 68.9869, 185.904, 3.02057, 7.61552, 2.53256, 84.6471, 0.900897
615, 617.5, 1036, 1019.45, 744.627, 67.8952, 183.704, 3.0148, 7.93758, 2.49501, 8.87429, 0.901852
620, 622.5, 982, 1015.05, 743.832, 67.2821, 181.784, 2.99741, 7.25479, 2.48845, 8.50319, 0.903568
625, 627.5, 1016, 1013.62, 743.896, 67.3111, 180.587, 2.96429, 7.235, 2.44911, 8.26861, 0.904379
630, 632.5, 978, 1010.08, 743.805, 65.7812, 178.407, 2.98488, 7.09885, 2.43723, 8.66052, 0.905209
635, 637.5, 998, 1008.31, 744.021, 65.8872, 176.637, 2.96914, 7.12256, 2.41361, 8.34975, 0.90716
640, 642.5, 1011, 1008.85, 746.493, 65.9321, 174.954, 2.9549, 7.09092, 2.42857, 8.09188, 0.90794
645, 647.5, 1002, 1007.76, 747.481, 64.9866, 173.436, 2.95353, 7.34993, 2.4197, 8.21993, 0.908894
650, 652.5, 1057, 1004.95, 745.614, 65.0088, 172.481, 2.95891, 7.48084, 2.39878, 8.09717, 0.910179
655, 657.5, 1056, 1005.1, 748.838, 63.8053, 171.173, 2.91115, 7.15773, 2.37479, 7.93385, 0.911408
660, 662.5, 1054, 1006.29, 750.288, 64.0697, 168.441, 2.96645, 7.48297, 2.29321, 9.83273, 0.912386
665, 667.5, 1012, 1006.32, 750.061, 63.4804, 167.63, 2.94611, 7.65408, 2.19433, 11.4431, 0.913753
670, 672.5, 1036, 999.932, 748.681, 62.8, 166.445, 2.93614, 8.26681, 2.16582, 7.72149, 0.915313
675, 677.5, 1027, 1000.56, 750.295, 62.3743, 166.077, 2.92853, 8.14563, 2.13637, 7.68374, 0.916388
680, 682.5, 993, 998.035, 750.324, 62.4486, 163.577, 2.94683, 7.53176, 2.11578, 8.17407, 0.917192
685, 687.5, 969, 997.759, 750.906, 62.7181, 162.417, 2.94657, 8.14541, 2.09117, 7.61601, 0.918708
690, 692.5, 976, 995.493, 750.163, 62.7261, 161.29, 2.93909, 7.66202, 2.10021, 7.69291, 0.920223
695, 697.5, 946, 988.657, 745.296, 61.8553, 159.816, 2.93135, 7.96718, 2.0677, 7.80227, 0.921112
700, 702.5, 980, 990.878, 746.472, 61.6768, 159.348, 2.93942, 8.19623, 2.0299, 9.29266, 0.922342
705, 707.5, 954, 986.283, 746.343, 60.7884, 157.317, 2.91567, 8.1019, 2.02202, 7.8707, 0.923754
710, 712.5, 1020, 984.266, 746.678, 61.0885, 155.622, 2.90983, 7.15946, 1.99955, 7.8827, 0.924807
715, 717.5, 1012, 978.378, 742.692, 60.3494, 154.564, 2.93293, 6.71342, 1.97448, 8.22558, 0.925893
720, 722.5, 969, 979.356, 743.209, 60.451, 154.09, 2.94034, 6.62426, 2.87945, 8.23581, 0.926865
725, 727.5, 1028, 1014.39, 742.557, 59.262, 152.621, 2.93837, 8.18566, 40.4648, 7.43716, 0.928561
730, 732.5, 941, 970.92, 740.966, 58.915, 151.346, 2.9364, 6.38561, 1.89584, 7.54581, 0.929535
735, 737.5, 923, 966.192, 736.078, 59.6393, 151.167, 2.97157, 6.41521, 1.51778, 7.47279, 0.930838
740, 742.5, 980, 965.965, 737.853, 58.7167, 149.464, 2.94756, 6.31944, 1.51867, 8.21288, 0.932429
745, 747.5, 962, 963.848, 738.191, 58.7514, 147.951, 2.95399, 6.31275, 1.51185, 7.24244, 0.933459
750, 752.5, 971, 961.236, 734.767, 58.5105, 147.744, 2.98882, 7.15428, 1.45508, 7.68233, 0.93416
755, 757.5, 914, 958.041, 732.481, 58.9618, 146.4, 2.94224, 7.64002, 1.46787, 7.21281, 0.935947
760, 762.5, 919, 955.172, 730.942, 58.1893, 145.888, 2.9635, 5.9962, 2.93381, 7.32217, 0.936909
765, 767.5, 957, 973.551, 726.234, 58.5254, 145.379, 2.99138, 5.63216, 1.51162, 32.3389, 0.938147
770, 772.5, 949, 951.689, 726.397, 57.9352, 143.565, 2.9883, 9.75365, 1.38716, 8.72473, 0.938474
775, 777.5, 906, 941.144, 722.38, 57.8735, 143.225, 3.01034, 5.238, 1.36687, 7.1091, 0.940906
780, 782.5, 997, 945.937, 722.183, 57.9534, 142.168, 3.0003, 7.19548, 2.8415, 9.65459, 0.941573
785, 787.5, 941, 948.705, 719.943, 56.8315, 142.299, 3.02313, 4.56768, 3.94783, 17.1503, 0.942725
790, 792.5, 894, 937.452, 717.13, 56.3214, 140.374, 3.07752, 11.4487, 1.29564, 6.86076, 0.944153
795, 797.5, 939, 930.789, 712.239, 57.0416, 139.221, 3.04209, 10.2639, 1.28146, 6.75388, 0.945617
800, 802.5, 937, 917.999, 705.016, 56.9529, 138.65, 3.06643, 4.11986, 1.25003, 7.99381, 0.9495
805, 807.5, 891, 927.568, 708.89, 56.8078, 138.881, 3.08152, 3.97528, 1.25066, 13.7339, 0.947869
810, 812.5, 887, 917.406, 706.99, 56.3094, 137.935, 3.11524, 3.90419, 1.22924, 6.97364, 0.949021
815, 817.5, 882, 910.587, 700.826, 56.3881, 136.884, 3.1609, 4.10459, 1.2504, 7.02232, 0.950583
820, 822.5, 895, 910.918, 700.255, 56.6621, 136.765, 3.35541, 3.87139, 1.28074, 7.77652, 0.951644
825, 827.5, 898, 901.593, 693.576, 54.5414, 136.041, 3.1483, 4.65109, 1.24545, 7.43752, 0.952598
830, 832.5, 874, 899.346, 689.736, 55.2956, 135.492, 3.18878, 6.524, 1.23665, 6.91897, 0.954183
835, 837.5, 947, 904.025, 687.359, 55.3418, 134.549, 3.21988, 9.23547, 1.25084, 12.1151, 0.954956
840, 842.5, 930, 892.08, 683.563, 56.6268, 133.562, 3.23595, 4.92165, 1.22829, 7.98711, 0.956541
845, 847.5, 869, 888.494, 684.729, 55.4836, 132.771, 3.26501, 3.19272, 1.20725, 6.88722, 0.958147
850, 852.5, 849, 882.642, 679.039, 55.4951, 132.749, 3.28718, 3.0728, 1.20943, 6.83078, 0.958803
855, 857.5, 914, 882.344, 674.386, 55.4328, 131.934, 3.30713, 2.94281, 6.54513, 6.83677, 0.960064
860, 862.5, 889, 886.059, 670.978, 55.7738, 131.671, 3.36637, 2.89491, 13.4694, 6.94366, 0.961081
865, 867.5, 882, 869.165, 667.815, 55.5791, 130.623, 3.3583, 2.85591, 1.042, 6.92814, 0.962896
870, 872.5, 839, 868.524, 666.898, 54.9976, 130.634, 3.40599, 3.61111, 1.0357, 6.97752, 0.964155
875, 877.5, 906, 857.401, 657.721, 54.564, 129.725, 3.44542, 3.03886, 1.02091, 6.92143, 0.965024
880, 882.5, 849, 854.252, 653.524, 56.0269, 129.233, 3.46451, 3.01461, 1.02457, 6.99763, 0.967119
885, 887.5, 853, 850.911, 650.316, 55.89, 129.145, 3.53838, 3.03716, 1.00616, 7.00998, 0.967689
890, 892.5, 849, 849.467, 648.822, 55.7365, 128.296, 3.57479, 2.74409, 2.1921, 7.13309, 0.968682
895, 897.5, 831, 847.453, 639.39, 55.7625, 136.982, 3.59296, 2.64864, 1.08054, 7.0262, 0.970474
900, 902.5, 863, 843.014, 638.476, 55.3157, 131.553, 3.65233, 4.77479, 0.982001, 7.28865, 0.971477
905, 907.5, 867, 847.343, 631.043, 55.7552, 126.485, 3.7077, 21.3162, 0.970258, 7.09358, 0.97317
910, 912.5, 948, 937.906, 631.251, 55.5767, 126.685, 3.75271, 111.921, 0.966604, 6.77963, 0.973644
915, 917.5, 839, 818.656, 622.658, 55.1701, 126.512, 3.81122, 1.90021, 0.95927, 6.67098, 0.975062
920, 922.5, 816, 811.05, 616.489, 54.7062, 125.732, 3.87355, 1.91199, 0.962249, 6.3983, 0.97657
925, 927.5, 813, 808.738, 612.611, 56.6131, 125.418, 3.95824, 1.71724, 1.01103, 6.43146, 0.977246
930, 932.5, 766, 817.528, 609.165, 56.1532, 125.298, 3.97805, 1.7405, 0.925726, 19.2891, 0.978825
935, 937.5, 771, 798.798, 600.971, 55.8264, 124.956, 4.05343, 1.77061, 0.922751, 9.31806, 0.979883
940, 942.5, 796, 790.847, 596.149, 55.4272, 124.345, 4.09227, 2.7078, 0.9229, 6.22262, 0.980886
945, 947.5, 860, 801.656, 596.323, 66.2914, 124.312, 4.19822, 2.53251, 0.931364, 6.08575, 0.981929
950, 952.5, 801, 793.82, 590.729, 64.5353, 124.193, 4.2034, 1.65033, 1.42676, 6.09775, 0.983973
955, 957.5, 743, 774.412, 579.126, 56.2601, 124.229, 4.19021, 2.70693, 0.89442, 6.01944, 0.985569
960, 962.5, 775, 785.866, 579.623, 55.4842, 124.03, 3.96533, 13.3619, 0.873453, 7.54123, 0.986543
965, 967.5, 813, 836.225, 573.156, 56.1168, 123.119, 3.58588, 72.0626, 0.877824, 6.31963, 0.987552
970, 972.5, 768, 774.533, 567.426, 57.2021, 123.888, 3.43223, 14.8417, 0.856758, 5.89809, 0.988408
975, 977.5, 784, 754.275, 562.398, 56.2451, 123.405, 3.35961, 1.20748, 0.86375, 5.80567, 0.990252
980, 982.5, 706, 749.226, 556.977, 56.6685, 123.04, 3.33389, 1.35993, 1.00409, 5.85117, 0.991769
985, 987.5, 746, 745.192, 552.709, 57.0358, 122.789, 3.27413, 1.77953, 0.866486, 5.74605, 0.992801
990, 992.5, 736, 735.775, 543.953, 57.3002, 122.62, 3.2553, 1.03566, 0.850175, 5.76722, 0.993838
995, 997.5, 720, 729.524, 537.645, 57.6202, 122.322, 3.23024, 0.94538, 0.834346, 5.93195, 0.995144
1000, 1002.5, 771, 727.83, 535.753, 57.6692, 122.707, 3.23779, 0.976614, 0.831468, 5.65857, 0.996534
1005, 1007.5, 715, 720.594, 528.29, 58.1816, 122.352, 3.20938, 0.961389, 0.841466, 5.76016, 0.997683
1010, 1012.5, 734, 750.883, 521.897, 56.8975, 160.296, 3.19416, 1.11821, 0.832081, 5.64834, 0.999432
1015, 1017.5, 726, 715.965, 518.291, 57.7577, 127.889, 3.16155, 1.41262, 0.820728, 5.6314, 1.00024
1020, 1022.5, 711, 712.646, 514.419, 58.6918, 127.894, 3.14738, 0.970367, 0.856998, 5.66597, 1.00147
1025, 1027.5, 670, 701.983, 509.382, 58.5032, 122.756, 3.13439, 0.910429, 0.822519, 5.4709, 1.00328
1030, 1032.5, 658, 695.457, 501.752, 58.6506, 122.92, 3.08231, 1.61961, 0.806482, 5.62117, 1.0043
1035, 1037.5, 682, 689.705, 496.726, 59.144, 122.427, 3.07752, 1.21126, 0.814975, 5.29911, 1.00566
1040, 1042.5, 655, 683.143, 489.156, 59.8701, 122.837, 3.05961, 1.14385, 0.815655, 5.25431, 1.00622
1045, 1047.5, 673, 678.845, 484.522, 60.403, 122.894, 3.02385, 0.868402, 0.80586, 5.31992, 1.00763
1050, 1052.5, 654, 674.078, 478.986, 60.0399, 122.897, 3.02746, 0.926639, 0.814476, 6.37643, 1.00965
1055, 1057.5, 651, 668.037, 473.485, 60.8391, 122.867, 2.98443, 0.885105, 0.795108, 5.17141, 1.01032
1060, 1062.5, 683, 659.416, 463.372, 61.014, 123.388, 2.97727, 1.6393, 0.804491, 5.20915, 1.01122
1065, 1067.5, 648, 658.947, 461.131, 61.8342, 123.519, 2.98869, 1.83915, 0.79908, 5.82295, 1.01246
1070, 1072.5, 665, 651.865, 455.567, 61.5996, 123.282, 2.98423, 0.856334, 0.860669, 5.69984, 1.01463
1075, 1077.5, 630, 650.666, 452.084, 62.3642, 123.888, 3.01716, 0.917616, 2.36132, 5.0169, 1.0159
1080, 1082.5, 675, 642.711, 444.494, 62.8705, 124.458, 3.00463, 0.820734, 0.984542, 5.06311, 1.01682
1085, 1087.5, 647, 636.47, 438.099, 63.2304, 124.35, 3.0169, 0.830451, 0.790013, 5.13543, 1.0181
1090, 1092.5, 616, 635.932, 434.482, 64.477, 124.605, 3.02438, 0.98866, 2.21024, 5.1252, 1.01957
1095, 1097.5, 643, 630.94, 428.03, 66.0657, 125.266, 3.04176, 1.31426, 1.0849, 5.11638, 1.02071
1100, 1102.5, 638, 622.576, 420.95, 64.5852, 125.731, 3.07824, 0.832892, 0.764696, 5.61271, 1.0216
1105, 1107.5, 635, 618.795, 416.338, 65.617, 125.285, 3.07679, 1.40673, 0.80166, 5.24761, 1.023
1110, 1112.5, 612, 614.686, 410.899, 65.9579, 125.741, 3.03481, 2.20919, 0.771546, 5.04759, 1.02477
1115, 1117.5, 632, 638.149, 405.673, 67.1949, 126.11, 2.78604, 1.10623, 0.768668, 33.4847, 1.0258
1120, 1122.5, 668, 648.358, 400.065, 67.8697, 126.709, 2.45652, 1.46526, 0.766145, 47.9999, 1.02644
