bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
-15, -7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 7.5, 0, 2299.14, 0, 0, 0, 0, 0, 0, 0, 2299.14
15, 22.5, 0, 2.65351, 0, 0, 0, 0, 0, 0, 0, 2.65351
30, 37.5, 12661, 345.555, 31.964, 65.766, 213.825, 2.00188, 5.64776, 3.70454, 20.1036, 2.54198
45, 52.5, 37274, 1017.6, 103.194, 193.244, 626.53, 5.82387, 16.5451, 10.8548, 58.8962, 2.51596
60, 67.5, 56065, 1138.71, 116.327, 215.142, 708.566, 6.10878, 17.1435, 11.6584, 61.253, 2.50981
75, 82.5, 77196, 1492.36, 129.897, 285.114, 957.469, 7.45805, 21.0733, 14.1894, 74.6126, 2.54641
90, 97.5, 83400, 1877.48, 142.752, 359.639, 1226.25, 9.05227, 26.6575, 17.1465, 93.4762, 2.50141
105, 112.5, 75462, 2113.65, 156.677, 404.147, 1383.64, 10.2503, 29.165, 19.4842, 107.781, 2.50826
120, 127.5, 62699, 2201.47, 171.162, 420.459, 1424.46, 11.0224, 35.5615, 20.4614, 115.847, 2.4917
135, 142.5, 49978, 2163.57, 187.962, 411.484, 1373.08, 11.053, 32.1051, 20.5291, 124.861, 2.48969
150, 157.5, 76323, 3964.25, 405.676, 755.881, 2432.32, 20.764, 64.5758, 38.8222, 243.707, 2.50108
165, 172.5, 92175, 5765.33, 671.587, 1076.92, 3496.3, 30.7742, 91.4966, 59.6822, 335.978, 2.59776
180, 187.5, 84840, 6110.11, 832.267, 1121.48, 3602.82, 32.8417, 97.2046, 67.794, 352.683, 3.01461
195, 202.5, 71306, 6150.04, 955.757, 1095.74, 3526.01, 33.9427, 134.767, 66.1057, 335.259, 2.46194
210, 217.5, 57273, 5851.2, 1019.69, 1066.74, 3279.34, 37.3839, 96.1562, 58.7808, 290.635, 2.46607
225, 232.5, 46355, 5557.92, 1082.91, 1011.3, 3026.93, 34.415, 77.0108, 53.5263, 269.354, 2.47308
240, 247.5, 37471, 5264.02, 1148.52, 896.262, 2691.07, 29.891, 66.7884, 49.006, 380, 2.47899
255, 262.5, 30632, 4753.16, 1213.48, 793.329, 2397.08, 26.355, 70.4124, 43.5866, 206.434, 2.48724
270, 277.5, 25197, 4462.58, 1271.02, 706.215, 2148.96, 23.4229, 69.3801, 49.4197, 191.666, 2.49405
285, 292.5, 21368, 4547.72, 1335.05, 635.743, 1935.92, 21.133, 50.0032, 41.0157, 526.356, 2.5014
300, 307.5, 18003, 4074.7, 1401.1, 572.671, 1863.17, 19.2711, 46.7627, 33.6223, 135.602, 2.50945
315, 322.5, 15128, 3819.57, 1466.66, 523.163, 1583.38, 17.6669, 63.9273, 33.7529, 128.499, 2.5192
330, 337.5, 12940, 3774.85, 1526.86, 476.762, 1451.88, 16.3901, 146.55, 30.5308, 123.356, 2.52595
345, 352.5, 11470, 4149.72, 1580.63, 440.989, 1336.14, 15.3856, 30.7142, 28.7595, 714.568, 2.53505
360, 367.5, 9576, 3427.14, 1633.32, 410.216, 1235.86, 14.4262, 29.1196, 28.0813, 73.5705, 2.54405
375, 382.5, 8362, 3368.98, 1690.38, 380.935, 1149.39, 13.6705, 27.9848, 27.6583, 76.4088, 2.55259
390, 397.5, 7234, 3307.21, 1736.67, 357.155, 1072.14, 13.0801, 27.0001, 27.1314, 71.4593, 2.56151
405, 412.5, 6310, 3283.45, 1793.1, 339.34, 1007.9, 12.4905, 34.2046, 22.8754, 70.9686, 2.57098
420, 427.5, 5570, 3232.88, 1839.43, 319.071, 948.091, 11.976, 24.789, 20.8322, 66.1108, 2.58104
435, 442.5, 4868, 3209.55, 1889.32, 309.133, 896.063, 11.5092, 25.1115, 19.4676, 56.3539, 2.59056
450, 457.5, 4540, 3203.17, 1933.88, 290.898, 849.633, 11.1793, 39.3815, 20.1461, 55.4544, 2.59943
465, 472.5, 4081, 3170.32, 1976.73, 277.931, 807.302, 10.7746, 25.3662, 17.4499, 52.1515, 2.60947
480, 487.5, 3585, 3158.46, 2018.04, 265.88, 768.496, 10.5411, 22.3658, 16.8104, 53.7015, 2.61854
495, 502.5, 3514, 3172.12, 2044.9, 261.043, 761.836, 10.3166, 24.3797, 22.4024, 44.6159, 2.6285
510, 517.5, 3748, 3232.18, 2078.86, 268.277, 764.952, 10.217, 23.1627, 37.6945, 46.3783, 2.64086
525, 532.5, 3182, 3105.66, 2105.54, 237.412, 670.76, 9.80159, 21.5477, 14.4755, 43.4695, 2.64863
540, 547.5, 3057, 3107.44, 2141.59, 230.983, 646.033, 9.60669, 22.9369, 13.3292, 40.3038, 2.65855
555, 562.5, 3182, 3105.55, 2169.41, 224.434, 623.045, 9.46472, 25.4742, 12.7978, 38.2511, 2.66832
570, 577.5, 3148, 3208.03, 2184.12, 217.702, 600.846, 9.32282, 23.8065, 128.022, 41.529, 2.67938
585, 592.5, 3011, 3076.33, 2199.46, 212.511, 581.545, 9.1512, 21.5045, 13.0221, 36.4454, 2.68821
600, 607.5, 3424, 3369.87, 2217.24, 207.267, 562.383, 9.06625, 21.8615, 7.70599, 341.649, 2.69991
615, 622.5, 3034, 3048.11, 2232.36, 202.488, 546.075, 8.9765, 22.4274, 7.43256, 25.6461, 2.7098
630, 637.5, 2987, 3027.24, 2234.32, 197.601, 529.998, 8.90893, 21.3123, 7.27941, 25.1022, 2.72031
645, 652.5, 3115, 3017.81, 2241.93, 193.801, 517.09, 8.82358, 21.9885, 7.19327, 24.2509, 2.73048
660, 667.5, 3102, 3012.54, 2249.03, 190.35, 502.516, 8.8487, 23.4039, 6.65336, 28.9973, 2.74145
675, 682.5, 2989, 2996.35, 2251.52, 187.541, 492.07, 8.82194, 23.8228, 6.34331, 23.4738, 2.75229
690, 697.5, 2902, 2975.03, 2241.93, 186.258, 480.454, 8.80987, 23.8254, 6.1978, 24.7878, 2.76368
705, 712.5, 2986, 2948.93, 2235.71, 182.226, 467.503, 8.75843, 21.9748, 5.99605, 23.979, 2.77445
720, 727.5, 2938, 2964.67, 2226.73, 178.628, 458.057, 8.81512, 21.1955, 45.2401, 23.2188, 2.78496
735, 742.5, 2865, 2896, 2212.12, 177.107, 448.581, 8.87311, 19.0474, 4.5483, 22.9281, 2.79673
750, 757.5, 2804, 2874.45, 2198.19, 175.662, 440.032, 8.89456, 20.7905, 5.85677, 22.2173, 2.80702
765, 772.5, 2812, 2866.38, 2175.01, 174.334, 432.169, 8.99001, 20.6238, 4.26565, 48.1728, 2.81753
780, 787.5, 2832, 2832.09, 2159.25, 171.106, 424.841, 9.10095, 23.2119, 8.08497, 33.6657, 2.82845
795, 802.5, 2767, 2776.36, 2126.15, 170.802, 416.752, 9.19004, 18.359, 3.78215, 28.4816, 2.84299
810, 817.5, 2664, 2738.91, 2108.07, 169.36, 411.585, 9.63155, 11.8802, 3.76037, 21.7725, 2.85125
825, 832.5, 2719, 2704.96, 2070.67, 165.179, 406.083, 9.55696, 20.4106, 3.73295, 26.4716, 2.86174
840, 847.5, 2648, 2663.22, 2047.33, 167.605, 399.082, 9.78814, 11.1872, 3.64498, 21.7051, 2.87349
855, 862.5, 2685, 2637.57, 2013.18, 166.786, 394.228, 10.0318, 8.69363, 21.0565, 20.7086, 2.88404
870, 877.5, 2594, 2580.18, 1978.14, 165.588, 389.592, 10.3159, 9.66458, 3.08118, 20.8966, 2.8963
885, 892.5, 2533, 2547.83, 1938.53, 167.389, 394.423, 10.7061, 8.4299, 4.2788, 21.1693, 2.90684
900, 907.5, 2678, 2628.26, 1900.77, 166.648, 384.723, 11.1127, 138.012, 2.91886, 21.1619, 2.91829
915, 922.5, 2468, 2438.44, 1851.76, 166.489, 377.662, 11.643, 5.52943, 2.93255, 19.5007, 2.92888
930, 937.5, 2333, 2407.17, 1806.28, 167.407, 374.598, 12.1238, 6.21891, 2.77138, 34.8298, 2.93959
945, 952.5, 2404, 2369.89, 1766.18, 187.087, 372.734, 12.5918, 6.88977, 3.25255, 18.2029, 2.95147
960, 967.5, 2356, 2396.63, 1720.21, 168.803, 371.037, 10.9834, 100.266, 2.60804, 19.7589, 2.9625
975, 982.5, 2236, 2248.69, 1672.08, 169.949, 369.234, 9.96763, 4.34694, 2.73433, 17.4029, 2.97482
990, 997.5, 2227, 2193.13, 1617.35, 172.59, 367.648, 9.72333, 2.95765, 2.51599, 17.3577, 2.98552
1005, 1012.5, 2175, 2187.44, 1568.48, 172.837, 410.538, 9.56509, 3.49222, 2.49427, 17.0399, 2.99736
1020, 1027.5, 2039, 2110.09, 1525.55, 175.846, 373.57, 9.36408, 3.50041, 2.486, 16.758, 3.00905
1035, 1042.5, 2010, 2051.69, 1470.4, 179.417, 368.158, 9.16098, 3.22351, 2.43649, 15.8733, 3.01951
1050, 1057.5, 1988, 2001.53, 1415.84, 181.893, 369.152, 8.98916, 3.45104, 2.41407, 16.757, 3.03119
1065, 1072.5, 1943, 1961.48, 1368.78, 185.798, 370.69, 8.99008, 3.6131, 4.02107, 16.5397, 3.04299
1080, 1087.5, 1938, 1915.11, 1317.07, 190.578, 373.412, 9.04591, 2.63984, 3.98479, 15.3237, 3.05449
1095, 1102.5, 1916, 1872.31, 1265.32, 196.268, 376.282, 9.1968, 3.55388, 2.65125, 15.9767, 3.06531
1110, 1117.5, 1912, 1901.19, 1216.64, 201.023, 378.56, 8.27737, 4.78068, 2.30636, 86.5322, 3.077
1125, 1132.5, 1736, 1784.91, 1162.46, 208.733, 383.939, 6.72139, 2.31326, 2.27859, 15.3809, 3.08843
1140, 1147.5, 1701, 1749.16, 1108.94, 217.312, 390.627, 6.22582, 2.88726, 2.23799, 17.8294, 3.10023
1155, 1162.5, 1671, 1713.77, 1059.98, 223.486, 397.497, 6.42322, 2.71064, 2.27302, 18.2827, 3.11111
1170, 1177.5, 1723, 1760.39, 1003.28, 233.603, 406.109, 95.7793, 2.3009, 2.25352, 13.9385, 3.12286
1185, 1192.5, 1719, 1647, 958.788, 247.632, 416.291, 3.75933, 2.11645, 2.25579, 13.0273, 3.13365
1200, 1207.5, 1659, 1616.58, 904.698, 258.551, 428.751, 3.26934, 2.13524, 2.24162, 13.79, 3.14674
1215, 1222.5, 1606, 1601.59, 858.239, 275.974, 443.997, 2.83419, 2.27748, 2.24429, 12.8636, 3.15835
1230, 1237.5, 1629, 1595.06, 812.747, 271.414, 461.127, 2.52369, 2.55369, 2.23919, 39.2847, 3.16935
1245, 1252.5, 1467, 1469.77, 763.404, 197.731, 481.867, 2.24416, 5.4145, 2.25098, 13.6778, 3.18
1260, 1267.5, 1447, 1423.09, 721.639, 176.749, 502.938, 2.10842, 2.09162, 2.27237, 12.095, 3.19438
1275, 1282.5, 1431, 1396.39, 674.313, 165.239, 527.005, 2.00228, 3.77986, 2.31623, 18.5296, 3.20709
1290, 1297.5, 1389, 1339.43, 633.516, 151.044, 533.584, 2.0194, 2.01928, 2.26742, 11.7609, 3.2184
1305, 1312.5, 1204, 1154.62, 589.089, 137.57, 406.334, 1.98102, 2.16437, 2.26697, 11.9856, 3.22831
1320, 1327.5, 1155, 1128.97, 551.12, 118.976, 354.655, 84.9472, 2.04843, 2.27293, 11.709, 3.24154
1335, 1342.5, 1052, 961.629, 510.212, 100.73, 328.464, 2.62571, 2.18642, 2.35207, 11.8068, 3.25237
1350, 1357.5, 887, 886.124, 474.09, 86, 306.054, 0.746303, 2.32768, 2.27137, 11.37, 3.26442
1365, 1372.5, 856, 844.862, 441.082, 73.6755, 280.37, 0.719209, 2.76438, 2.32397, 40.6495, 3.27629
1380, 1387.5, 793, 746.144, 406.027, 65.2657, 251.382, 0.745254, 1.74276, 2.3092, 15.3848, 3.28791
1395, 1402.5, 716, 686.124, 372.506, 61.1704, 217.962, 0.76605, 1.71663, 2.22056, 26.4818, 3.29956
1410, 1417.5, 586, 610.54, 342.662, 57.8278, 190.206, 0.728328, 1.52752, 2.14304, 12.1359, 3.31034
1425, 1432.5, 541, 552.207, 311.163, 56.6257, 164.978, 0.697691, 1.73625, 2.12074, 11.5627, 3.32362
1440, 1447.5, 515, 506.697, 283.456, 57.2636, 147.107, 0.678076, 1.27422, 2.07656, 11.5059, 3.33605
1455, 1462.5, 3747, 3778.19, 259.957, 3358.22, 138.568, 0.662069, 3.58487, 2.01414, 11.8374, 3.34736
1470, 1477.5, 392, 382.552, 231.923, 0, 130.965, 0.643044, 1.15085, 2.02705, 12.4841, 3.35945
1485, 1492.5, 324, 361.123, 210.539, 0, 128.949, 0.626708, 2.99025, 1.99205, 12.6534, 3.37243
1500, 1507.5, 331, 345.655, 188.981, 0, 125.455, 0.591479, 2.19567, 3.43102, 21.6166, 3.38415
1515, 1522.5, 5986, 6034.98, 167.739, 0, 5847.88, 0.578096, 0.610065, 1.93646, 12.8396, 3.39644
1530, 1537.5, 215, 187.192, 149.85, 0, 14.1278, 0.586428, 0.720583, 1.8831, 16.6162, 3.40798
1545, 1552.5, 180, 162.498, 131.948, 0, 12.9526, 0.631957, 1.21258, 1.86763, 10.4628, 3.42224
1560, 1567.5, 148, 145.1, 116.423, 0, 12.6826, 0.575079, 0.621506, 1.8912, 9.47327, 3.43376
1575, 1582.5, 165, 145.39, 102.581, 0, 12.4326, 0.530403, 12.3521, 1.91127, 12.1394, 3.44351
1590, 1597.5, 107, 121.777, 89.9521, 0, 12.7839, 0.481528, 1.08288, 3.6226, 10.3993, 3.45503
1605, 1612.5, 100, 105.941, 77.0727, 0, 12.1777, 0.456271, 0.328553, 3.92134, 8.51801, 3.46658
1620, 1627.5, 114, 103.481, 65.8889, 0, 12.5873, 0.42406, 6.82947, 6.74934, 7.52324, 3.47816
1635, 1642.5, 89, 83.3304, 56.5695, 0, 12.1512, 0.417893, 2.05289, 1.92451, 6.72424, 3.49011
1650, 1657.5, 82, 77.8633, 48.2488, 0, 11.7842, 0.409693, 0.163605, 1.92365, 11.8322, 3.50114
1665, 1672.5, 74, 64.9327, 40.9895, 0, 11.5775, 0.390012, 0.819368, 2.1348, 5.509, 3.51247
1680, 1687.5, 58, 58.614, 33.6721, 0, 11.3975, 0.38168, 0.390731, 2.03396, 7.21352, 3.52453
1695, 1702.5, 51, 49.6152, 27.9271, 0, 10.5608, 0.377875, 0.226857, 1.94358, 5.0423, 3.53669
1710, 1717.5, 40, 43.3897, 22.545, 0, 9.95313, 0.361999, 0.149342, 1.96773, 4.86522, 3.54721
1725, 1732.5, 68, 61.4796, 18.9397, 0, 9.68398, 0.351437, 0.199586, 2, 26.7456, 3.55922
1740, 1747.5, 39, 34.4989, 14.9353, 0, 9.24311, 0.347698, 0.109286, 2.01135, 4.28105, 3.57116
1755, 1762.5, 125, 132.201, 11.5236, 0, 8.95501, 0.34468, 0.0930983, 2.04149, 105.661, 3.582
1770, 1777.5, 32, 26.8544, 9.15642, 0, 8.75351, 0.337463, 0.0338987, 2.07372, 2.90636, 3.59298
1785, 1792.5, 26, 24.206, 6.89326, 0, 8.40126, 0.331297, 0.0454744, 2.08201, 2.84639, 3.60628
1800, 1807.5, 21, 22.7955, 5.37559, 0, 8.04932, 0.329525, 0.0375035, 2.52293, 2.86227, 3.61832
1815, 1822.5, 11, 20.6486, 3.79211, 0, 7.66437, 0.316405, 0.177061, 2.09526, 2.97338, 3.63001
1830, 1837.5, 22, 24.4092, 2.90225, 0, 10.5149, 0.321587, 0.100577, 2.09293, 4.83488, 3.6421
1845, 1852.5, 29, 32.0047, 2.06413, 0, 7.15495, 0.31588, 0.0310328, 2.11255, 16.6727, 3.65353
1860, 1867.5, 15, 18.0541, 1.19323, 0, 6.93413, 0.31693, 0.0289505, 2.16911, 3.74768, 3.66406
1875, 1882.5, 14, 17.3078, 0.904362, 0, 6.71607, 0.30722, 0.169471, 2.22099, 3.31238, 3.67728
1890, 1897.5, 21, 17.4725, 0.521096, 0, 6.58816, 0.311288, 0.0217185, 2.25455, 4.08704, 3.68861
1905, 1912.5, 17, 16.5489, 0.251178, 0, 7.03204, 0.315486, 0.0440414, 2.28974, 2.91659, 3.69983
1920, 1927.5, 20, 25.3363, 0.164617, 0, 15.7316, 0.308729, 0.0799329, 2.30719, 3.03335, 3.71087
1935, 1942.5, 17, 15.8923, 0.058138, 0, 5.90163, 0.312009, 0.0222782, 2.28271, 3.59318, 3.72238
1950, 1957.5, 17, 15.4342, 0.0658814, 0, 5.67562, 0.30991, 0.284601, 2.23857, 3.12578, 3.73383
1965, 1972.5, 25, 14.6327, 0.0163611, 0, 5.3344, 0.310041, 0.0569382, 2.23652, 2.93176, 3.74667
1980, 1987.5, 19, 14.3974, 0, 0, 5.48974, 0.308532, 0.0020375, 2.2884, 2.55149, 3.75716
1995, 2002.5, 11, 14.1106, 0, 0, 5.31432, 0.305055, 0.00154492, 2.26976, 2.45025, 3.76966
2010, 2017.5, 12, 14.4981, 0, 0, 5.08203, 0.300791, 0.00226141, 2.29361, 3.03829, 3.78107
2025, 2032.5, 13, 13.3539, 0, 0, 4.92647, 0.294296, 0.00586622, 2.33025, 2.00401, 3.79304
2040, 2047.5, 17, 13.373, 0, 0, 4.76191, 0.286358, 2.23902e-05, 2.35054, 2.1691, 3.80507
2055, 2062.5, 16, 12.8903, 0, 0, 4.60213, 0.296002, 0.000380633, 2.40645, 1.76766, 3.81764
2070, 2077.5, 9, 12.7579, 0, 0, 4.50713, 0.293509, 0, 2.44095, 1.68759, 3.82876
2085, 2092.5, 19, 12.6604, 0, 0, 4.323, 0.283406, 0, 2.48896, 1.72322, 3.8418
2100, 2107.5, 19, 17.2592, 0, 0, 4.24943, 0.284259, 2.23902e-05, 7.20505, 1.66466, 3.85578
2115, 2122.5, 18, 19.3268, 0, 0, 4.07917, 0.280061, 0.000246292, 2.6926, 8.40795, 3.86675
2130, 2137.5, 8, 12.0307, 0, 0, 4.07579, 0.280913, 0, 2.73556, 1.05897, 3.87943
2145, 2152.5, 11, 12.1537, 0, 0, 4.03187, 0.280585, 0, 2.76904, 1.18138, 3.8908
2160, 2167.5, 8, 12.0334, 0, 0, 3.99126, 0.281307, 0, 2.85463, 1.00253, 3.90369
2175, 2182.5, 10, 11.9888, 0, 0, 3.73144, 0.290491, 0, 2.93912, 1.11083, 3.91694
2190, 2197.5, 24, 33.4856, 0, 0, 3.51394, 0.28767, 0, 2.97047, 22.7849, 3.92863
2205, 2212.5, 27, 18.5155, 0, 0, 3.44971, 0.304399, 0, 3.07083, 7.75041, 3.94014
2220, 2227.5, 7, 11.3361, 0, 0, 3.37548, 0.316339, 0, 3.14948, 0.541834, 3.95296
2235, 2242.5, 8, 11.2326, 0, 0, 3.1424, 0.323031, 0, 3.2665, 0.535132, 3.96549
2250, 2257.5, 11, 11.3316, 0, 0, 3.02236, 0.340153, 0, 3.40508, 0.583812, 3.98023
2265, 2272.5, 16, 11.3159, 0, 0, 2.86133, 0.369019, 0, 3.52992, 0.565116, 3.9905
2280, 2287.5, 13, 12.7786, 0, 0, 2.69654, 0.358653, 0, 3.6944, 2.02588, 4.00318
2295, 2302.5, 5, 11.2511, 0, 0, 2.60572, 0.253557, 0, 3.78552, 0.588045, 4.01823
2310, 2317.5, 9, 11.0593, 0, 0, 2.48076, 0.219968, 0, 3.96287, 0.365808, 4.02987
2325, 2332.5, 10, 11.0527, 0, 0, 2.29989, 0.200877, 0, 4.15103, 0.359812, 4.04113
2340, 2347.5, 12, 10.9441, 0, 0, 2.16275, 0.180081, 0, 4.31504, 0.229997, 4.05628
2355, 2362.5, 8, 11.0204, 0, 0, 2.0919, 0.157514, 0, 4.48323, 0.219062, 4.06874
2370, 2377.5, 12, 10.8569, 0, 0, 2.06584, 0.14295, 0, 4.35278, 0.214123, 4.08126
2385, 2392.5, 15, 9.78097, 0, 0, 1.95286, 0.10982, 0, 3.44796, 0.176731, 4.0936
2400, 2407.5, 8, 9.52848, 0, 0, 1.93459, 0.0994546, 0, 3.22165, 0.163326, 4.10946
2415, 2422.5, 11, 15.2267, 0, 0, 7.76938, 0.0791176, 0, 3.08244, 0.174262, 4.12151
2430, 2437.5, 10, 9.28971, 0, 0, 1.65324, 0.067309, 0, 2.97308, 0.460347, 4.13574
2445, 2452.5, 17, 16.6506, 0, 0, 1.51763, 0.0636352, 0, 2.75009, 8.17125, 4.148
2460, 2467.5, 8, 8.40722, 0, 0, 1.59899, 0.0595022, 0, 2.50799, 0.0793702, 4.16137
2475, 2482.5, 6, 7.95615, 0, 0, 1.38737, 0.0570749, 0, 2.19735, 0.139692, 4.17466
2490, 2497.5, 7, 8.31239, 0, 0, 1.34887, 0.801344, 0, 1.9018, 0.070904, 4.18947
2505, 2512.5, 8, 8.83071, 0, 0, 1.26633, 1.68259, 0, 1.58358, 0.0952442, 4.20296
2520, 2527.5, 3, 6.81145, 0, 0, 1.17083, 0, 0, 1.3786, 0.0448001, 4.21722
2535, 2542.5, 8, 6.77752, 0, 0, 1.20909, 0, 0, 1.27871, 0.0592631, 4.23045
2550, 2557.5, 4, 6.58315, 0, 0, 1.08088, 0, 0, 1.21159, 0.0455056, 4.24517
2565, 2572.5, 4, 6.50198, 0, 0, 1.04352, 0, 0, 1.1549, 0.0462111, 4.25735
2580, 2587.5, 8, 6.41061, 0, 0, 1.01697, 0, 0, 1.07838, 0.0430363, 4.27222
2595, 2602.5, 12, 6.5303, 0, 0, 0.967285, 6.56033e-05, 0, 1.22833, 0.0469166, 4.2877
