bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
-15, -7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 7.5, 0, 2224.12, 0, 0, 0, 0, 0, 0, 0, 2224.12
15, 22.5, 0, 2.56882, 0, 0, 0, 0, 0, 0, 0, 2.56882
30, 37.5, 5865, 35.7814, 26.4417, 0.899548, 4.06762, 0.00454842, 0.438967, 0.0873696, 1.38073, 2.46093
45, 52.5, 14240, 112.469, 87.2981, 2.63085, 14.0908, 0.0112749, 1.3865, 0.173505, 4.44211, 2.43576
60, 67.5, 17136, 133.795, 101.564, 3.12739, 20.2715, 0.0114671, 1.5001, 0.2226, 4.66773, 2.42981
75, 82.5, 19684, 154.582, 114.473, 3.60441, 25.9757, 0.014414, 2.00646, 0.261789, 5.78139, 2.46521
90, 97.5, 19840, 175.98, 127.371, 4.32877, 31.0822, 0.0145421, 2.65287, 0.293656, 7.81553, 2.42169
105, 112.5, 17695, 196.865, 141.558, 4.7937, 34.3852, 0.0183858, 3.29987, 0.304692, 10.0773, 2.42831
120, 127.5, 15305, 218.267, 155.731, 5.43477, 37.1334, 0.020564, 5.09564, 0.315723, 12.1235, 2.41229
135, 142.5, 12721, 238.145, 172.563, 5.80367, 37.2283, 0.0231905, 4.26854, 0.347334, 15.5005, 2.41035
150, 157.5, 20379, 495.257, 371.508, 10.5002, 65.0089, 0.0449076, 9.56103, 0.786098, 35.4262, 2.42136
165, 172.5, 25594, 797.593, 618.657, 15.51, 93.907, 0.0642544, 14.5135, 1.01486, 51.4111, 2.51489
180, 187.5, 27005, 981.928, 774.563, 18.9104, 109.554, 0.0808465, 17.5472, 1.03874, 57.3149, 2.91814
195, 202.5, 24868, 1138.65, 896.469, 20.5928, 112.167, 0.0944917, 46.2182, 1.09795, 59.6247, 2.38351
210, 217.5, 21858, 1171.03, 960.617, 24.4699, 106.465, 0.127163, 21.0732, 1.03703, 54.8553, 2.3875
225, 232.5, 19473, 1224.31, 1022.49, 27.483, 100.021, 0.133698, 13.0441, 1.01653, 57.731, 2.39428
240, 247.5, 16740, 1380.73, 1088.11, 25.2658, 92.0672, 0.126971, 12.3219, 0.979341, 159.465, 2.4
255, 262.5, 14781, 1327.55, 1153.15, 23.6596, 86.876, 0.11576, 14.9934, 0.974977, 45.3717, 2.40798
270, 277.5, 13016, 1379.44, 1210, 22.509, 79.9591, 0.110956, 15.7866, 1.01444, 47.6436, 2.41457
285, 292.5, 11838, 1703.35, 1273.18, 20.8745, 73.7579, 0.106599, 10.9196, 4.87332, 317.216, 2.42168
300, 307.5, 10302, 1470.53, 1338.4, 19.5573, 71.1021, 0.100898, 11.0792, 0.578286, 27.2787, 2.42947
315, 322.5, 9115, 1537.87, 1404.79, 18.9851, 63.2356, 0.0900714, 16.8814, 1.96835, 29.4818, 2.4389
330, 337.5, 8082, 1679.06, 1465.1, 18.4241, 59.2757, 0.0902636, 102.443, 0.499354, 30.7858, 2.44543
345, 352.5, 7517, 2100.74, 1519.09, 17.0832, 55.4906, 0.0825121, 4.11663, 0.455158, 501.963, 2.45423
360, 367.5, 6329, 1651.16, 1573.22, 16.5534, 52.8949, 0.0862277, 3.95796, 0.462461, 1.51642, 2.46293
375, 382.5, 5683, 1703.46, 1629.66, 15.9541, 49.3787, 0.0828965, 3.84475, 0.476353, 1.59032, 2.4712
390, 397.5, 4990, 1747.54, 1676.88, 15.2747, 47.0105, 0.0765543, 3.75886, 0.492373, 1.56412, 2.47983
405, 412.5, 4305, 1802.12, 1732.86, 15.1233, 45.1102, 0.0817433, 4.46095, 0.476689, 1.52306, 2.48898
420, 427.5, 3846, 1845.71, 1780.04, 14.4849, 42.939, 0.0733512, 3.59972, 0.521357, 1.5606, 2.49872
435, 442.5, 3420, 1893.54, 1830.42, 14.1806, 40.764, 0.0750809, 3.6421, 0.486166, 1.45659, 2.50792
450, 457.5, 3151, 1939.37, 1873.92, 14.3198, 39.7399, 0.0740559, 5.11204, 2.16097, 1.52697, 2.51651
465, 472.5, 2820, 1979.2, 1917.99, 13.6724, 37.9582, 0.069059, 3.69813, 0.532876, 2.75168, 2.52622
480, 487.5, 2443, 2020.67, 1959.22, 13.2802, 36.7969, 0.0665606, 3.43812, 0.454925, 4.88084, 2.535
495, 502.5, 2375, 2042.13, 1985.8, 13.1014, 35.1979, 0.0691231, 3.69479, 0.464553, 1.25091, 2.54463
510, 517.5, 2459, 2077.41, 2020.44, 13.3419, 35.6193, 0.0673934, 3.53938, 0.569668, 1.28414, 2.55658
525, 532.5, 2183, 2103.66, 2048.38, 12.6469, 32.5242, 0.0682903, 3.48487, 0.505534, 3.48604, 2.56411
540, 547.5, 2111, 2136.16, 2083.41, 12.7246, 31.8252, 0.0639981, 3.74374, 0.460204, 1.36431, 2.5737
555, 562.5, 2201, 2164.12, 2111.23, 12.8674, 31.6436, 0.0692512, 4.02909, 0.456983, 1.23839, 2.58315
570, 577.5, 2157, 2184.69, 2127.43, 12.373, 30.4495, 0.0631013, 3.93002, 5.20516, 2.64728, 2.59385
585, 592.5, 2136, 2192.18, 2141.74, 12.4677, 29.6035, 0.0615638, 3.8363, 0.516079, 1.34515, 2.6024
600, 607.5, 2256, 2223.05, 2160.37, 12.0284, 29.1897, 0.0672653, 4.0507, 0.311647, 14.413, 2.61371
615, 622.5, 2178, 2224.23, 2175.59, 12.3294, 28.1292, 0.0675215, 4.29783, 0.317938, 0.874736, 2.62327
630, 637.5, 2257, 2225.38, 2177.86, 11.7987, 27.4898, 0.0646387, 4.3041, 0.307025, 0.927916, 2.63344
645, 652.5, 2302, 2232.97, 2185.48, 11.9293, 26.9622, 0.07002, 4.64352, 0.306524, 0.936127, 2.64328
660, 667.5, 2291, 2241.37, 2193.8, 11.9648, 26.6546, 0.0711731, 5.05362, 0.293549, 0.88021, 2.6539
675, 682.5, 2199, 2243.94, 2196.47, 11.7747, 26.0227, 0.0702762, 5.69984, 0.293596, 0.939256, 2.66438
690, 697.5, 2191, 2234.79, 2187.08, 12.1593, 25.6692, 0.0741199, 5.95053, 0.318706, 0.869261, 2.67539
705, 712.5, 2236, 2229.12, 2182.17, 11.7054, 25.3655, 0.0703403, 5.95026, 0.317829, 0.863787, 2.68582
720, 727.5, 2192, 2231.71, 2173.7, 11.5894, 25.2978, 0.0732231, 6.07061, 11.4071, 0.872389, 2.69598
735, 742.5, 2185, 2205.23, 2159.43, 11.713, 24.4542, 0.0781559, 5.93597, 0.0705825, 0.845408, 2.70737
750, 757.5, 2135, 2191.66, 2145.54, 11.7949, 24.1117, 0.0790527, 6.4709, 0.0774755, 0.871216, 2.71732
765, 772.5, 2134, 2171.25, 2123.61, 11.9855, 24.1629, 0.0745043, 7.11587, 0.0652589, 1.51055, 2.72749
780, 787.5, 2157, 2169.51, 2108.38, 11.9797, 23.8083, 0.0819996, 9.97528, 0.205256, 12.3398, 2.73806
795, 802.5, 2086, 2123.42, 2076.86, 12.1349, 23.917, 0.0832168, 6.89514, 0.0589872, 0.721452, 2.75212
810, 817.5, 2033, 2104.16, 2059.29, 12.2404, 23.3447, 0.0855871, 5.67886, 0.0620192, 0.703464, 2.76011
825, 832.5, 2054, 2079.24, 2022.72, 12.2855, 23.2906, 0.0915449, 11.7323, 0.064909, 6.27917, 2.77025
840, 847.5, 2027, 2046.11, 2000.62, 12.584, 22.9147, 0.0963495, 5.37651, 0.0622843, 1.67869, 2.78163
855, 862.5, 2042, 2011.72, 1966.82, 12.5172, 22.9664, 0.10519, 4.85478, 1.15168, 0.507949, 2.79183
870, 877.5, 1974, 1977.86, 1933.35, 12.682, 22.6556, 0.110187, 5.71419, 0.0425763, 0.495045, 2.80369
885, 892.5, 1907, 1939.08, 1893.91, 13.0681, 23.501, 0.116337, 5.10311, 0.0853019, 0.482923, 2.81389
900, 907.5, 1990, 2045.76, 1857.43, 13.0782, 22.6854, 0.127227, 149.081, 0.0385201, 0.492308, 2.82496
915, 922.5, 1835, 1851.87, 1809.96, 13.3245, 22.4176, 0.139015, 2.64321, 0.0434056, 0.509904, 2.8352
930, 937.5, 1736, 1809.12, 1765.74, 13.9961, 21.9089, 0.153173, 3.47829, 0.0431227, 0.960371, 2.84557
945, 952.5, 1820, 1772.01, 1726.95, 15.5754, 22.1, 0.171494, 3.80142, 0.0639339, 0.491917, 2.85706
960, 967.5, 1737, 1827.8, 1682.03, 14.2542, 21.9298, 0.165088, 105.877, 0.0405891, 0.638553, 2.86773
975, 982.5, 1693, 1677.22, 1634.72, 15.0996, 21.8681, 0.158618, 1.94968, 0.0427651, 0.502083, 2.87965
990, 997.5, 1639, 1623.73, 1581.77, 15.6293, 21.957, 0.166882, 0.776022, 0.0430851, 0.501692, 2.89
1005, 1012.5, 1575, 1576.98, 1533.83, 16.0805, 22.4285, 0.168291, 0.995864, 0.0402278, 0.532193, 2.90145
1020, 1027.5, 1454, 1536.35, 1491.9, 16.6586, 22.9156, 0.178541, 1.21609, 0.0416423, 0.531802, 2.91277
1035, 1042.5, 1438, 1482.38, 1438.1, 17.5345, 21.9573, 0.188727, 1.11526, 0.0411211, 0.529065, 2.92288
1050, 1057.5, 1406, 1430.36, 1384.58, 18.4173, 22.0288, 0.183282, 1.59642, 0.0405322, 0.579116, 2.93418
1065, 1072.5, 1399, 1386.34, 1339.15, 19.5307, 22.0663, 0.18924, 1.76525, 0.105894, 0.589283, 2.94559
1080, 1087.5, 1342, 1335.66, 1288.47, 20.6359, 21.855, 0.193083, 0.854592, 0.152021, 0.547834, 2.95672
1095, 1102.5, 1340, 1288.11, 1237.96, 22.1733, 22.1825, 0.197888, 1.97311, 0.0596149, 0.597886, 2.96719
