bin_low_edge, bin_center, K42_inside_ms, Bi212Tl208_cables
-5, -2.5, 0, 0
0, 2.5, 0, 0
5, 7.5, 0, 0
10, 12.5, 0, 0
15, 17.5, 0, 0
20, 22.5, 0, 0
25, 27.5, 0, 0
30, 32.5, 0, 0
35, 37.5, 0, 0
40, 42.5, 24.1708, 2.91895
45, 47.5, 23.403, 2.84337
50, 52.5, 23.7887, 2.81474
55, 57.5, 23.8042, 2.82931
60, 62.5, 24.8656, 2.8723
65, 67.5, 26.4342, 2.9954
70, 72.5, 27.8114, 3.18055
75, 77.5, 28.6483, 3.38492
80, 82.5, 30.1595, 3.56042
85, 87.5, 30.8551, 3.81302
90, 92.5, 31.6678, 4.01538
95, 97.5, 31.8128, 4.17578
100, 102.5, 31.6589, 4.37343
105, 107.5, 31.684, 4.51957
110, 112.5, 31.3652, 4.6525
115, 117.5, 31.0399, 4.73543
120, 122.5, 30.172, 4.75001
125, 127.5, 29.9748, 4.75963
130, 132.5, 28.9097, 4.77683
135, 137.5, 28.2347, 4.77312
140, 142.5, 27.0834, 4.68524
145, 147.5, 27.5928, 4.72973
150, 152.5, 33.3585, 5.5092
155, 157.5, 60.4059, 10.3877
160, 162.5, 78.9574, 14.902
165, 167.5, 82.5922, 15.8987
170, 172.5, 85.0117, 16.343
175, 177.5, 82.9175, 16.8558
180, 182.5, 79.6147, 17.1324
185, 187.5, 76.4753, 16.702
190, 192.5, 74.1213, 16.3543
195, 197.5, 71.1881, 15.764
200, 202.5, 68.8937, 15.13
205, 207.5, 67.3913, 14.4148
210, 212.5, 65.9089, 13.8207
215, 217.5, 66.204, 13.121
220, 222.5, 68.24, 12.7032
225, 227.5, 66.5816, 12.2088
230, 232.5, 63.7683, 12.1372
235, 237.5, 60.8196, 11.5558
240, 242.5, 58.7387, 11.1311
245, 247.5, 56.1079, 10.6929
250, 252.5, 53.2843, 10.7972
255, 257.5, 50.8795, 9.9655
260, 262.5, 49.361, 9.59662
265, 267.5, 47.2838, 9.33701
270, 272.5, 45.1079, 9.12213
275, 277.5, 44.2364, 15.4097
280, 282.5, 42.5772, 8.41065
285, 287.5, 41.0955, 11.5662
290, 292.5, 39.4673, 7.93041
295, 297.5, 38.489, 7.64226
300, 302.5, 37.2031, 7.47937
305, 307.5, 36.1439, 7.38203
310, 312.5, 52.2766, 7.2024
315, 317.5, 33.7413, 7.11004
320, 322.5, 32.8065, 7.00126
325, 327.5, 31.9092, 8.08698
330, 332.5, 31.2504, 6.80575
335, 337.5, 30.0447, 6.70224
340, 342.5, 29.7775, 6.49866
345, 347.5, 28.7639, 6.35818
350, 352.5, 27.874, 6.25126
355, 357.5, 27.4198, 6.21049
360, 362.5, 26.9266, 6.15126
365, 367.5, 26.3231, 6.11111
370, 372.5, 25.9351, 6.10628
375, 377.5, 25.2145, 6.01331
380, 382.5, 24.8295, 6.01828
385, 387.5, 24.4431, 6.04642
390, 392.5, 23.8977, 5.99195
395, 397.5, 23.3603, 5.96933
400, 402.5, 23.1498, 5.7986
405, 407.5, 22.4395, 5.24713
