bin_low_edge, bin_center, fitted_data, K42_inside_ms, Bi212Tl208_cables
-5, -2.5, 0, 0, 0
0, 2.5, 0, 0, 0
5, 7.5, 0, 0, 0
10, 12.5, 0, 0, 0
15, 17.5, 0, 0, 0
20, 22.5, 0, 0, 0
25, 27.5, 0, 0, 0
30, 32.5, 0, 0, 0
35, 37.5, 0, 0, 0
40, 42.5, 2724, 0.818753, 0.0619522
45, 47.5, 2344, 0.846843, 0.0441903
50, 52.5, 2180, 0.788184, 0.0453164
55, 57.5, 2479, 0.807186, 0.0492871
60, 62.5, 2723, 0.728698, 0.0551349
65, 67.5, 2981, 0.793967, 0.059668
70, 72.5, 3312, 0.803881, 0.0666507
75, 77.5, 3483, 0.835277, 0.0686326
80, 82.5, 3617, 0.8171, 0.0673162
85, 87.5, 3664, 0.789836, 0.074105
90, 92.5, 3626, 0.831146, 0.0744022
95, 97.5, 3582, 0.789836, 0.0760568
100, 102.5, 3641, 0.751005, 0.0777434
105, 107.5, 3247, 0.776617, 0.0776278
110, 112.5, 3163, 0.706391, 0.0772879
115, 117.5, 3028, 0.732003, 0.0757579
120, 122.5, 2991, 0.670039, 0.0764237
125, 127.5, 2639, 0.658472, 0.0784694
130, 132.5, 2550, 0.662603, 0.0776191
135, 137.5, 2296, 0.657646, 0.0804408
140, 142.5, 2153, 0.632034, 0.0842034
145, 147.5, 2069, 0.641948, 0.0872669
150, 152.5, 2472, 0.766703, 0.101446
155, 157.5, 4297, 1.40287, 0.186618
160, 162.5, 5416, 1.98285, 0.371163
165, 167.5, 5346, 1.95146, 0.335259
170, 172.5, 5304, 2.15305, 0.264672
175, 177.5, 5172, 2.12826, 0.264662
180, 182.5, 4880, 2.04812, 0.265839
185, 187.5, 4554, 1.91097, 0.262388
190, 192.5, 4207, 1.94485, 0.26401
195, 197.5, 3751, 1.84818, 0.261932
200, 202.5, 3625, 1.82588, 0.258692
205, 207.5, 3310, 1.79944, 0.253257
210, 212.5, 3170, 1.735, 0.240086
215, 217.5, 3049, 1.77217, 0.247057
220, 222.5, 2798, 1.78539, 0.233235
225, 227.5, 2627, 1.754, 0.234582
230, 232.5, 2428, 1.65238, 0.235096
235, 237.5, 2631, 1.63172, 0.228023
240, 242.5, 2228, 1.63998, 0.218924
245, 247.5, 2089, 1.5648, 0.226425
250, 252.5, 1997, 1.63833, 0.222718
255, 257.5, 1881, 1.50862, 0.223871
260, 262.5, 1754, 1.51523, 0.220864
265, 267.5, 1761, 1.46153, 0.22166
270, 272.5, 1571, 1.43096, 0.220943
275, 277.5, 1526, 1.41196, 0.245413
280, 282.5, 1422, 1.42848, 0.219051
285, 287.5, 1356, 1.33429, 3.05722
290, 292.5, 1334, 1.38634, 0.204645
295, 297.5, 1338, 1.36156, 0.128669
300, 302.5, 1176, 1.33182, 0.129797
305, 307.5, 1165, 1.3029, 0.131247
310, 312.5, 1074, 1.51358, 0.126575
315, 317.5, 1008, 1.26159, 0.125146
320, 322.5, 982, 1.28803, 0.130855
325, 327.5, 956, 1.3029, 1.09237
330, 332.5, 874, 1.28555, 0.118592
335, 337.5, 879, 1.19384, 0.102652
340, 342.5, 835, 1.16493, 0.102049
345, 347.5, 808, 1.20954, 0.0959786
350, 352.5, 1006, 1.15419, 0.098244
355, 357.5, 717, 1.21615, 0.102539
360, 362.5, 744, 1.15749, 0.0974858
365, 367.5, 680, 1.13849, 0.101507
370, 372.5, 645, 1.12031, 0.103372
375, 377.5, 623, 1.05835, 0.102319
380, 382.5, 611, 1.1137, 0.102461
385, 387.5, 608, 1.12527, 0.103553
390, 392.5, 582, 1.09883, 0.103644
395, 397.5, 554, 1.03439, 0.109829
400, 402.5, 535, 1.05835, 0.109174
405, 407.5, 542, 1.01373, 0.107635
410, 412.5, 543, 1.07487, 0.105071
415, 417.5, 512, 1.05009, 0.104003
420, 422.5, 507, 1.04513, 0.104658
425, 427.5, 493, 0.984817, 0.10482
430, 432.5, 480, 0.985643, 0.133719
435, 437.5, 438, 1.03274, 0.106301
440, 442.5, 408, 0.952595, 0.106005
445, 447.5, 453, 0.965814, 0.107235
450, 452.5, 450, 0.995557, 1.23349
455, 457.5, 432, 0.986469, 0.110708
460, 462.5, 437, 0.956726, 0.0896208
465, 467.5, 400, 0.943507, 0.0882509
470, 472.5, 412, 0.970772, 0.165366
475, 477.5, 446, 0.912938, 0.0953143
480, 482.5, 424, 0.923679, 0.092126
485, 487.5, 358, 0.940203, 0.0935118
490, 492.5, 390, 0.956726, 0.113369
495, 497.5, 391, 0.939376, 0.0959901
500, 502.5, 408, 0.93855, 0.0958421
505, 507.5, 378, 0.861715, 0.112219
510, 512.5, 473, 0.932767, 0.16116
515, 517.5, 384, 0.861715, 0.103921
520, 522.5, 407, 0.820405, 0.107335
525, 527.5, 382, 0.897241, 0.111729
530, 532.5, 395, 0.845191, 0.111402
535, 537.5, 383, 0.869977, 0.105969
540, 542.5, 382, 0.855931, 0.102904
545, 547.5, 385, 0.879065, 0.104324
550, 552.5, 379, 0.878238, 0.097691
555, 557.5, 401, 0.84106, 0.10158
560, 562.5, 359, 0.86915, 0.100122
565, 567.5, 424, 0.855931, 0.102782
570, 572.5, 369, 0.883196, 0.105413
575, 577.5, 351, 0.822884, 0.106602
580, 582.5, 418, 0.815448, 3.31601
585, 587.5, 402, 0.814622, 0.169944
590, 592.5, 366, 0.827841, 0.0693571
595, 597.5, 384, 0.827841, 0.0692664
600, 602.5, 418, 0.862541, 0.0703747
605, 607.5, 411, 0.793967, 0.070325
610, 612.5, 403, 0.849322, 0.0683892
615, 617.5, 387, 0.798098, 0.0704371
620, 622.5, 389, 0.79562, 0.0743136
625, 627.5, 381, 0.79975, 0.0661637
630, 632.5, 380, 0.784879, 0.0682403
635, 637.5, 452, 0.808839, 0.0679946
640, 642.5, 408, 0.750179, 0.0687366
645, 647.5, 393, 0.802229, 0.0693059
650, 652.5, 422, 0.8171, 0.0682029
655, 657.5, 402, 0.745222, 0.066598
660, 662.5, 441, 0.759267, 0.0652158
665, 667.5, 403, 0.801403, 0.063362
670, 672.5, 390, 0.761746, 0.065552
675, 677.5, 410, 0.75431, 0.0634883
680, 682.5, 389, 0.788184, 0.0658668
685, 687.5, 377, 0.75431, 0.0650199
690, 692.5, 376, 0.716305, 0.0710705
695, 697.5, 406, 0.763398, 0.071051
700, 702.5, 387, 0.746874, 0.0712593
705, 707.5, 371, 0.742743, 0.0703411
710, 712.5, 415, 0.749353, 0.0716417
715, 717.5, 399, 0.793141, 0.0729029
720, 722.5, 383, 0.745222, 0.163526
725, 727.5, 409, 0.774965, 7.26463
730, 732.5, 385, 0.735308, 0.0485618
735, 737.5, 379, 0.727872, 0.0148314
740, 742.5, 399, 0.761746, 0.0152513
745, 747.5, 394, 0.716305, 0.0158829
750, 752.5, 375, 0.694825, 0.0138011
755, 757.5, 354, 0.722915, 0.0143457
760, 762.5, 395, 0.729524, 0.0212725
765, 767.5, 396, 0.715479, 0.0144951
770, 772.5, 394, 0.723741, 0.0125985
